DATA_ELABORAZIONE,CIE,CNS,SPID,EIDAS
29-11-2025,2571708,2162674,40423710,3799
28-11-2025,2567560,2158148,40389502,3787
27-11-2025,2562603,2152872,40348085,3772
26-11-2025,2557113,2147074,40304563,3753
25-11-2025,2551454,2141274,40259827,3741
24-11-2025,2545496,2135471,40213685,3717
23-11-2025,2543215,2135164,40198311,3710
22-11-2025,2540809,2134735,40182309,3702
21-11-2025,2536130,2130110,40146522,3699
20-11-2025,2530674,2124548,40103097,3687
19-11-2025,2524913,2118665,40057905,3660
18-11-2025,2518884,2112721,40011179,3646
17-11-2025,2512791,2106581,39962995,3615
16-11-2025,2510481,2106244,39947956,3612
15-11-2025,2508099,2105766,39931759,3609
14-11-2025,2503502,2101045,39894074,3614
13-11-2025,2498083,2095222,39849554,3603
12-11-2025,2492732,2089299,39803697,3596
11-11-2025,2487066,2083353,39756119,3582
10-11-2025,2481224,2077331,39706985,3559
09-11-2025,2478976,2076958,39691745,3552
08-11-2025,2476687,2076437,39675913,3546
07-11-2025,2472149,2071541,39638425,3531
05-11-2025,2460874,2060050,39547041,3526
04-11-2025,2455138,2054139,39498935,3501
03-11-2025,2449442,2047977,39449783,3482
02-11-2025,2447184,2047609,39434008,3472
01-11-2025,2445308,2047024,39419941,3454
31-10-2025,2441425,2042607,39385514,3448
30-10-2025,2436132,2037028,39341119,3415
29-10-2025,2431136,2031174,39295048,3402
28-10-2025,2425741,2024829,39246102,3374
27-10-2025,2419256,2017029,39186469,3375
26-10-2025,2416546,2016566,39166709,3366
25-10-2025,2414491,2016066,39151102,3356
24-10-2025,2410373,2011141,39113343,3340
23-10-2025,2404803,2005280,39069128,3333
22-10-2025,2399087,1999480,39022093,3311
21-10-2025,2393513,1993400,38973609,3296
20-10-2025,2388278,1987272,38923773,3287
19-10-2025,2386192,1986957,38909031,3280
18-10-2025,2384153,1986490,38893410,3279
17-10-2025,2379746,1981611,38854509,3274
16-10-2025,2374372,1975808,38807996,3258
15-10-2025,2368573,1969725,38759447,3245
14-10-2025,2362335,1963745,38706851,3238
13-10-2025,2356108,1957562,38653773,3224
12-10-2025,2353772,1957215,38637531,3218
11-10-2025,2351552,1956730,38620382,3208
10-10-2025,2346989,1952091,38580400,3191
09-10-2025,2341477,1946500,38533029,3170
08-10-2025,2335943,1940778,38483469,3156
07-10-2025,2330324,1935026,38433129,3146
06-10-2025,2324544,1929171,38381291,3135
05-10-2025,2322406,1928858,38365313,3124
04-10-2025,2320298,1928428,38349414,3120
03-10-2025,2316011,1923340,38310426,3115
02-10-2025,2310879,1917639,38263614,3107
01-10-2025,2305444,1912092,38213195,3085
30-09-2025,2299572,1906498,38160974,3067
29-09-2025,2293865,1900813,38107952,3058
28-09-2025,2291862,1900504,38091971,3050
27-09-2025,2289612,1900049,38074292,3046
26-09-2025,2284813,1895395,38031945,3036
25-09-2025,2279918,1889904,37985045,3025
24-09-2025,2274483,1884057,37933902,3016
23-09-2025,2268960,1878217,37880722,3009
22-09-2025,2263176,1872573,37827483,2985
21-09-2025,2261091,1872294,37811805,2979
20-09-2025,2258911,1871843,37794444,2968
19-09-2025,2254343,1867303,37753370,2957
18-09-2025,2248934,1861861,37704076,2947
17-09-2025,2243417,1856092,37652046,2935
16-09-2025,2237590,1850361,37598235,2922
15-09-2025,2231821,1844694,37543379,2900
14-09-2025,2229678,1844450,37527202,2895
13-09-2025,2227441,1844051,37509746,2887
12-09-2025,2222901,1839631,37467891,2879
11-09-2025,2217529,1834228,37417441,2862
10-09-2025,2211993,1828779,37365457,2842
09-09-2025,2206286,1823111,37312669,2821
08-09-2025,2200679,1817556,37260438,2807
07-09-2025,2198745,1817329,37245730,2796
06-09-2025,2196769,1816976,37229608,2783
05-09-2025,2192574,1812872,37189639,2772
04-09-2025,2187734,1807833,37142609,2764
03-09-2025,2182551,1802493,37093326,2755
02-09-2025,2177276,1797162,37042157,2743
01-09-2025,2171981,1792128,36991096,2728
31-08-2025,2170388,1791941,36977573,2719
30-08-2025,2168602,1791683,36962866,2711
29-08-2025,2165164,1789316,36932393,2704
28-08-2025,2160981,1786457,36896008,2695
27-08-2025,2156627,1783641,36858954,2691
26-08-2025,2152293,1780972,36821190,2681
25-08-2025,2147926,1778401,36783251,2670
24-08-2025,2146441,1778264,36772052,2662
23-08-2025,2144960,1778045,36760414,2657
22-08-2025,2142238,1776986,36737812,2638
21-08-2025,2139009,1775705,36711868,2625
20-08-2025,2135740,1774470,36685410,2620
19-08-2025,2132487,1773301,36658980,2606
18-08-2025,2129229,1772171,36632376,2590
17-08-2025,2127999,1772047,36623601,2589
16-08-2025,2126901,1771888,36615167,2581
15-08-2025,2125923,1771813,36608150,2580
14-08-2025,2123954,1771287,36593141,2578
13-08-2025,2121253,1770478,36572566,2574
12-08-2025,2118328,1769445,36549216,2572
11-08-2025,2115401,1768298,36524436,2571
10-08-2025,2114124,1768187,36515352,2568
09-08-2025,2112715,1767967,36504380,2565
08-08-2025,2109689,1766193,36479655,2558
07-08-2025,2105923,1763621,36447867,2550
06-08-2025,2101817,1760817,36413351,2542
05-08-2025,2097690,1757814,36377097,2535
04-08-2025,2093296,1754630,36338382,2510
03-08-2025,2091781,1754408,36326770,2505
02-08-2025,2090033,1754078,36312914,2500
01-08-2025,2086515,1750727,36281074,2489
31-07-2025,2082413,1746205,36242295,2487
30-07-2025,2077977,1741412,36200833,2484
29-07-2025,2073369,1736476,36156611,2475
28-07-2025,2068559,1731348,36111177,2463
27-07-2025,2066933,1731074,36098954,2462
26-07-2025,2065163,1730657,36084858,2457
25-07-2025,2061476,1726458,36049883,2450
24-07-2025,2057094,1720929,36007077,2441
23-07-2025,2052512,1715237,35963044,2425
22-07-2025,2047710,1709827,35916752,2415
18-07-2025,2036757,1699610,35812799,2385
17-07-2025,2032402,1694475,35769445,2377
16-07-2025,2028107,1689099,35725033,2376
15-07-2025,2023741,1683729,35679710,2369
14-07-2025,2019087,1678364,35633371,2360
13-07-2025,2017435,1678088,35619662,2358
12-07-2025,2015873,1677652,35605309,2355
11-07-2025,2012420,1673538,35570647,2347
10-07-2025,2008131,1667934,35528161,2342
09-07-2025,2003963,1662884,35484961,2336
