MESE,ANNO,NUMERO
9,2025,9151743
8,2025,8877158
7,2025,8716118
6,2025,8485481
5,2025,8276472
4,2025,8051682
3,2025,7845695
2,2025,7606917
1,2025,7394681
12,2024,7202052
11,2024,7074939
10,2024,6917059
9,2024,6725435
8,2024,6533100
7,2024,6427154
6,2024,6261220
5,2024,6105818
4,2024,5922154
3,2024,5755183
2,2024,5575605
1,2024,5385077
12,2023,5172736
11,2023,5035567
10,2023,4873307
9,2023,4686838
8,2023,4494875
7,2023,4376888
6,2023,4218022
5,2023,4062851
4,2023,3885247
3,2023,3735991
2,2023,3540696
1,2023,3350308
12,2022,3120894
11,2022,2972452
10,2022,2785114
9,2022,2577045
8,2022,2352494
7,2022,2221224
6,2022,2051025
5,2022,1876145
4,2022,1677606
3,2022,1507602
2,2022,1297387
1,2022,1085754
12,2021,838870
11,2021,655330
10,2021,104654
9,2021,74273
8,2021,61380
7,2021,53905
6,2021,43842
5,2021,31004
4,2021,18330
