COMUNE,COD_ISTAT_COMUNE,PROVINCIA,DATA_ADESIONE
AGRIGENTO,084001,AGRIGENTO,24-10-2024
CAVATORE,006055,ALESSANDRIA,13-01-2025
CELLA MONTE,006056,ALESSANDRIA,03-12-2024
GUAZZORA,006086,ALESSANDRIA,06-12-2024
MERANA,006093,ALESSANDRIA,13-01-2025
MONTECHIARO D'ACQUI,006106,ALESSANDRIA,04-12-2024
ODALENGO PICCOLO,006117,ALESSANDRIA,26-11-2024
CASORZO MONFERRATO,005020,ASTI,05-12-2024
CASTAGNOLE MONFERRATO,005023,ASTI,15-01-2025
PENANGO,005083,ASTI,19-12-2024
ROCCA D'ARAZZO,005093,ASTI,18-12-2024
CAPURSO,072014,BARI,11-12-2024
VILLONGO,016242,BERGAMO,20-01-2025
NETRO,096039,BIELLA,21-11-2024
STRONA,096065,BIELLA,14-11-2024
SAN LAZZARO DI SAVENA,037054,BOLOGNA,31-10-2023
LOMAZZO,013133,COMO,12-12-2024
AISONE,004002,CUNEO,29-11-2024
BOSSOLASCO,004027,CUNEO,11-12-2024
CARRÙ,004043,CUNEO,02-07-2024
CERVASCA,004064,CUNEO,16-12-2024
ENTRACQUE,004084,CUNEO,23-12-2024
GAIOLA,004093,CUNEO,19-12-2024
MAGLIANO ALPI,004114,CUNEO,12-03-2024
MOMBARCARO,004124,CUNEO,28-11-2024
MONASTEROLO CASOTTO,004127,CUNEO,15-11-2024
PEZZOLO VALLE UZZONE,004164,CUNEO,23-12-2024
RITTANA,004182,CUNEO,15-01-2025
ROCCHETTA BELBO,004193,CUNEO,19-12-2024
TRINITÀ,004232,CUNEO,25-11-2024
VALLORIATE,004235,CUNEO,05-12-2024
ROSIGNANO MARITTIMO,049017,LIVORNO,31-10-2023
MASSAROSA,046018,LUCCA,01-01-2025
STAZZEMA,046030,LUCCA,19-12-2024
SABBIONETA,020054,MANTOVA,17-12-2024
BERNATE TICINO,015019,MILANO,09-12-2024
NOSATE,015155,MILANO,16-12-2024
CAMPOGALLIANO,036003,MODENA,18-12-2024
CARPI,036005,MODENA,20-11-2024
LAMA MOCOGNO,036018,MODENA,11-12-2024
POLINAGO,036032,MODENA,04-12-2024
SOLIERA,036044,MODENA,04-12-2024
LISSONE,108028,MONZA E DELLA BRIANZA,12-12-2023
SEREGNO,108039,MONZA E DELLA BRIANZA,11-12-2024
CABRAS,095018,ORISTANO,09-12-2024
SIAMANNA,095057,ORISTANO,17-12-2024
SIAPICCIA,095076,ORISTANO,11-12-2024
SISSA TRECASALI,034049,PARMA,21-11-2024
MARCIGNAGO,018086,PAVIA,26-11-2024
REA,018119,PAVIA,13-12-2024
VERRUA PO,018175,PAVIA,20-12-2024
PONTEDERA,050029,PISA,10-12-2024
GROTTAFERRATA,058046,ROMA,12-12-2023
LOANO,009034,SAVONA,12-03-2024
MONTEPULCIANO,052015,SIENA,01-01-2025
RADICONDOLI,052025,SIENA,17-12-2024
SARTEANO,052031,SIENA,11-12-2024
GESTURI,111027,SUD SARDEGNA,24-10-2024
TUILI,111091,SUD SARDEGNA,14-01-2025
CROGNALETO,067023,TERAMO,24-01-2025
INGRIA,001121,TORINO,02-01-2025
LAURIANO,001129,TORINO,06-12-2024
PISCINA,001195,TORINO,13-12-2024
SANT'AMBROGIO DI TORINO,001255,TORINO,10-12-2024
MALNATE,012096,VARESE,12-12-2024
SOMMA LOMBARDO,012123,VARESE,27-11-2024
CONA,027010,VENEZIA,02-12-2024
ANTRONA SCHIERANCO,103001,VERBANO-CUSIO-OSSOLA,23-01-2025
BROVELLO-CARPUGNINO,103013,VERBANO-CUSIO-OSSOLA,14-01-2025
GERMAGNO,103032,VERBANO-CUSIO-OSSOLA,21-11-2024
LOREGLIA,103038,VERBANO-CUSIO-OSSOLA,22-11-2024
MASSIOLA,103043,VERBANO-CUSIO-OSSOLA,15-01-2025
OGGEBBIO,103049,VERBANO-CUSIO-OSSOLA,04-12-2024
PREMIA,103056,VERBANO-CUSIO-OSSOLA,17-12-2024
SERRAVALLE SESIA,002137,VERCELLI,31-10-2023
VALEGGIO SUL MINCIO,023089,VERONA,31-10-2023
TROPEA,102044,VIBO VALENTIA,31-10-2023
