DATA_ELABORAZIONE,STATO_ESTERO,CODICE_ISO,RETTIFICHE,CAMBI_RESIDENZA,AUTOCERTIFICAZIONI,VISURE,CERTIFICATI,TOTALE
05-08-2025,AFGHANISTAN,AFG,0,2,4,10,8,24
05-08-2025,ALBANIA,ALB,21,9,318,2107,1109,3564
05-08-2025,ALGERIA,DZA,1,3,22,228,111,365
05-08-2025,ANDORRA,AND,0,0,12,50,23,85
05-08-2025,ANGOLA,AGO,0,0,6,67,38,111
05-08-2025,ANGUILLA,AIA,0,0,2,3,1,6
05-08-2025,ANTIGUA E BARBUDA,ATG,1,0,0,48,10,59
05-08-2025,ARABIA SAUDITA,SAU,20,11,169,1063,379,1642
05-08-2025,ARGENTINA,ARG,109,46,1330,10687,1596,13768
05-08-2025,ARMENIA,ARM,0,0,13,63,19,95
05-08-2025,ARUBA,ABW,0,0,6,6,0,12
05-08-2025,AUSTRALIA,AUS,99,63,681,4612,1550,7005
05-08-2025,AUSTRIA,AUT,78,67,887,5615,1937,8584
05-08-2025,AZERBAIGIAN,AZE,2,0,7,72,36,117
05-08-2025,BAHAMAS,BHS,0,0,11,48,30,89
05-08-2025,BAHREIN,BHR,2,4,58,213,117,394
05-08-2025,BANGLADESH,BGD,5,0,23,104,64,196
05-08-2025,BARBADOS,BRB,0,0,0,4,10,14
05-08-2025,BELGIO,BEL,238,76,2241,13594,4108,20257
05-08-2025,BELIZE,BLZ,0,0,5,19,9,33
05-08-2025,BENIN,BEN,0,0,12,43,6,61
05-08-2025,BERMUDA,BMU,0,0,1,2,0,3
05-08-2025,BHUTAN,BTN,0,0,3,4,2,9
05-08-2025,BIELORUSSIA,BLR,1,0,6,69,18,94
05-08-2025,BOLIVIA,BOL,3,4,25,147,41,220
05-08-2025,BONAIRE SINT EUSTATIUS SABA,BES,0,0,0,0,3,3
05-08-2025,BOSNIA-ERZEGOVINA,BIH,2,0,10,114,28,154
05-08-2025,BOTSWANA,BWA,0,0,0,4,5,9
05-08-2025,BRASILE,BRA,279,102,3009,27296,4482,35168
05-08-2025,BRUNEI,BRN,1,1,11,13,5,31
05-08-2025,BULGARIA,BGR,12,18,253,1315,574,2172
05-08-2025,BURKINA FASO,BFA,1,0,4,8,5,18
05-08-2025,BURUNDI,BDI,0,0,0,10,4,14
05-08-2025,CAMBOGIA,KHM,3,0,21,79,15,118
05-08-2025,CAMERUN,CMR,2,1,32,125,67,227
05-08-2025,CANADA,CAN,60,24,430,4148,1068,5730
05-08-2025,CAPO VERDE,CPV,1,1,7,114,55,178
05-08-2025,CIAD,TCD,0,0,5,9,12,26
05-08-2025,CILE,CHL,26,12,170,1205,324,1737
05-08-2025,CIPRO,CYP,23,2,145,786,342,1298
05-08-2025,COLOMBIA,COL,28,18,139,932,277,1394
05-08-2025,CONGO,COG,0,0,14,50,17,81
05-08-2025,COSTA D'AVORIO,CIV,2,4,32,123,60,221
05-08-2025,COSTA RICA,CRI,6,5,34,394,102,541
05-08-2025,CROAZIA,HRV,11,5,112,685,355,1168
05-08-2025,CUBA,CUB,6,5,51,217,142,421
05-08-2025,CURACAO,CUW,0,0,0,7,10,17
05-08-2025,DANIMARCA,DNK,51,41,380,2968,626,4066
05-08-2025,ECUADOR,ECU,3,4,81,460,175,723
05-08-2025,EGITTO,EGY,27,8,189,1750,523,2497
05-08-2025,EL SALVADOR,SLV,2,0,5,84,7,98
05-08-2025,EMIRATI ARABI UNITI,ARE,96,43,950,5077,2118,8284
