MESE,ANNO,STATO_ESTERO,CODICE_ISO,RETTIFICHE,CAMBI_RESIDENZA,AUTOCERTIFICAZIONI,VISURE,CERTIFICATI,TOTALE
4,2023,ALBANIA,ALB,1,1,1,2,1,6
4,2023,ARGENTINA,ARG,1,2,2,11,1,17
4,2023,AUSTRALIA,AUS,1,1,0,9,1,12
4,2023,AUSTRIA,AUT,1,1,2,9,2,15
4,2023,BELGIO,BEL,1,1,4,14,5,25
4,2023,BERMUDA,BMU,1,1,0,0,0,2
4,2023,BOLIVIA,BOL,1,1,0,0,1,3
4,2023,BRASILE,BRA,1,3,8,32,10,54
4,2023,BULGARIA,BGR,1,1,1,2,4,9
4,2023,CANADA,CAN,2,1,2,7,0,12
4,2023,CILE,CHL,1,1,0,2,0,4
4,2023,CROAZIA,HRV,1,1,0,1,0,3
4,2023,DANIMARCA,DNK,1,1,0,1,2,5
4,2023,ECUADOR,ECU,1,1,0,0,0,2
4,2023,EGITTO,EGY,1,1,0,2,1,5
4,2023,EMIRATI ARABI UNITI,ARE,2,1,0,4,3,10
4,2023,ERITREA,ERI,1,1,0,1,0,3
4,2023,FEDERAZIONE RUSSA,RUS,1,1,0,1,2,5
4,2023,FINLANDIA,FIN,1,1,0,0,0,2
4,2023,FRANCIA,FRA,4,4,9,42,18,77
4,2023,GERMANIA,DEU,5,5,6,39,21,76
4,2023,GIAPPONE,JPN,1,1,2,3,3,10
4,2023,GRECIA,GRC,1,1,0,3,3,8
4,2023,IRLANDA,IRL,1,3,2,11,5,22
4,2023,KENYA,KEN,1,1,0,4,1,7
4,2023,LIBANO,LBN,1,1,0,1,1,4
4,2023,LUSSEMBURGO,LUX,1,1,1,6,2,11
4,2023,MADAGASCAR,MDG,1,1,0,1,1,4
4,2023,MALTA,MLT,1,2,3,15,6,27
4,2023,MAROCCO,MAR,1,1,0,1,0,3
4,2023,MOLDOVA,MDA,1,1,0,1,0,3
4,2023,NORVEGIA,NOR,1,1,0,2,0,4
4,2023,PAESI BASSI,NLD,2,2,3,21,5,33
4,2023,PERU',PER,1,2,3,5,13,24
4,2023,POLONIA,POL,1,1,0,1,0,3
4,2023,PORTOGALLO,PRT,1,1,4,14,10,30
4,2023,QATAR,QAT,1,2,1,2,1,7
4,2023,REGNO UNITO,GBR,2,7,12,56,22,99
4,2023,REPUBBLICA CECA,CZE,1,3,1,8,0,13
4,2023,REPUBBLICA DOMINICANA,DOM,1,1,0,6,1,9
4,2023,REPUBBLICA POPOLARE CINESE,CHN,1,2,1,7,0,11
4,2023,ROMANIA,ROU,1,1,0,2,0,4
4,2023,SINGAPORE,SGP,2,1,0,5,1,9
4,2023,SLOVENIA,SVN,1,1,1,3,0,6
4,2023,SPAGNA,ESP,2,2,10,47,4,65
4,2023,STATI UNITI D'AMERICA,USA,3,2,7,27,4,43
4,2023,SVEZIA,SWE,1,1,1,6,2,11
4,2023,SVIZZERA,CHE,2,3,9,39,17,70
4,2023,THAILANDIA,THA,1,1,0,2,0,4
4,2023,TUNISIA,TUN,1,1,0,8,15,25
4,2023,UNGHERIA,HUN,1,2,1,4,0,8
4,2023,VENEZUELA,VEN,1,1,0,2,0,4
