MESE,ANNO,REGIONE,COD ISTAT REGIONE,STATO ESTERO,CODICE ISO STATO,TIPO SOGGETTO,RETTIFICHE,CAMBI DI RESIDENZA,AUTOCERTIFICAZIONI,VISURE,CERTIFICATI,TOTALE
1,2023,ABRUZZO,13,ARGENTINA,ARG,AIRE,0,0,0,0,1,1
1,2023,ABRUZZO,13,BRASILE,BRA,AIRE,0,0,1,9,4,14
1,2023,ABRUZZO,13,FRANCIA,FRA,AIRE,0,0,1,4,1,6
1,2023,ABRUZZO,13,GERMANIA,DEU,AIRE,1,2,0,7,0,10
1,2023,ABRUZZO,13,GIAPPONE,JPN,AIRE,0,0,0,0,1,1
1,2023,ABRUZZO,13,PAESI BASSI,NLD,AIRE,2,0,0,0,1,3
1,2023,ABRUZZO,13,REGNO UNITO,GBR,AIRE,0,0,0,0,1,1
1,2023,ABRUZZO,13,ROMANIA,ROU,AIRE,0,0,0,1,0,1
1,2023,ABRUZZO,13,SINGAPORE,SGP,AIRE,0,3,0,0,8,11
1,2023,ABRUZZO,13,SPAGNA,ESP,AIRE,1,1,0,4,0,6
1,2023,ABRUZZO,13,STATI UNITI D'AMERICA,USA,AIRE,0,1,0,0,9,10
1,2023,ABRUZZO,13,SVIZZERA,CHE,AIRE,0,0,0,3,0,3
1,2023,ABRUZZO,13,TUNISIA,TUN,AIRE,0,0,0,0,3,3
1,2023,ABRUZZO,13,,,Residenti,42,366,180,984,1051,2623
1,2023,BASILICATA,17,ARGENTINA,ARG,AIRE,0,0,0,4,1,5
1,2023,BASILICATA,17,BRASILE,BRA,AIRE,0,0,0,3,0,3
1,2023,BASILICATA,17,CILE,CHL,AIRE,0,1,0,1,0,2
1,2023,BASILICATA,17,EMIRATI ARABI UNITI,ARE,AIRE,0,0,0,1,0,1
1,2023,BASILICATA,17,GERMANIA,DEU,AIRE,1,1,0,0,0,2
1,2023,BASILICATA,17,REGNO UNITO,GBR,AIRE,1,0,0,5,1,7
1,2023,BASILICATA,17,SVIZZERA,CHE,AIRE,0,0,2,4,1,7
1,2023,BASILICATA,17,,,Residenti,16,128,89,449,455,1137
1,2023,CALABRIA,18,ALBANIA,ALB,AIRE,0,0,0,1,1,2
1,2023,CALABRIA,18,ARGENTINA,ARG,AIRE,1,1,1,5,2,10
1,2023,CALABRIA,18,BRASILE,BRA,AIRE,0,0,0,1,0,1
1,2023,CALABRIA,18,ESTONIA,EST,AIRE,0,0,1,1,0,2
1,2023,CALABRIA,18,FRANCIA,FRA,AIRE,0,0,0,2,1,3
1,2023,CALABRIA,18,GERMANIA,DEU,AIRE,1,0,0,5,2,8
1,2023,CALABRIA,18,PORTOGALLO,PRT,AIRE,0,0,0,0,1,1
1,2023,CALABRIA,18,REGNO UNITO,GBR,AIRE,0,0,2,1,4,7
1,2023,CALABRIA,18,SLOVENIA,SVN,AIRE,0,0,0,0,1,1
1,2023,CALABRIA,18,SPAGNA,ESP,AIRE,1,1,2,4,0,8
1,2023,CALABRIA,18,STATI UNITI D'AMERICA,USA,AIRE,0,0,0,1,0,1
1,2023,CALABRIA,18,SVEZIA,SWE,AIRE,0,0,0,1,0,1
1,2023,CALABRIA,18,URUGUAY,URY,AIRE,0,0,0,1,0,1
1,2023,CALABRIA,18,,,Residenti,89,444,352,1793,1988,4666
1,2023,CAMPANIA,15,ARGENTINA,ARG,AIRE,0,0,0,3,3,6
1,2023,CAMPANIA,15,AUSTRIA,AUT,AIRE,0,0,1,1,0,2
1,2023,CAMPANIA,15,BELGIO,BEL,AIRE,1,0,1,9,1,12
1,2023,CAMPANIA,15,BRASILE,BRA,AIRE,0,0,1,5,0,6
1,2023,CAMPANIA,15,DANIMARCA,DNK,AIRE,1,1,0,2,1,5
1,2023,CAMPANIA,15,FINLANDIA,FIN,AIRE,0,0,0,1,0,1
1,2023,CAMPANIA,15,FRANCIA,FRA,AIRE,1,0,1,7,4,13
1,2023,CAMPANIA,15,GERMANIA,DEU,AIRE,0,3,0,9,2,14
1,2023,CAMPANIA,15,IRLANDA,IRL,AIRE,1,0,1,3,0,5
1,2023,CAMPANIA,15,LUSSEMBURGO,LUX,AIRE,0,0,0,0,1,1
