MESE,ANNO,PARTENZA,COD_ISTAT_REGIONE_DI_PARTENZA,ARRIVO,COD_ISTAT_REGIONE_DI_ARRIVO,TOTALE
4,2022,ABRUZZO,13,ABRUZZO,13,4532
4,2022,ABRUZZO,13,BASILICATA,17,5
4,2022,ABRUZZO,13,CALABRIA,18,13
4,2022,ABRUZZO,13,CAMPANIA,15,74
4,2022,ABRUZZO,13,EMILIA ROMAGNA,08,91
4,2022,ABRUZZO,13,ESTERO,,176
4,2022,ABRUZZO,13,FRIULI VENEZIA GIULIA,06,17
4,2022,ABRUZZO,13,LAZIO,12,207
4,2022,ABRUZZO,13,LIGURIA,07,3
4,2022,ABRUZZO,13,LOMBARDIA,03,137
4,2022,ABRUZZO,13,MARCHE,11,73
4,2022,ABRUZZO,13,MOLISE,14,24
4,2022,ABRUZZO,13,PIEMONTE,01,21
4,2022,ABRUZZO,13,PUGLIA,16,29
4,2022,ABRUZZO,13,SARDEGNA,20,9
4,2022,ABRUZZO,13,SICILIA,19,19
4,2022,ABRUZZO,13,TOSCANA,09,43
4,2022,ABRUZZO,13,TRENTINO ALTO ADIGE,04,6
4,2022,ABRUZZO,13,UMBRIA,10,18
4,2022,ABRUZZO,13,VALLE D'AOSTA,02,1
4,2022,ABRUZZO,13,VENETO,05,46
4,2022,BASILICATA,17,ABRUZZO,13,6
4,2022,BASILICATA,17,BASILICATA,17,1599
4,2022,BASILICATA,17,CALABRIA,18,18
4,2022,BASILICATA,17,CAMPANIA,15,35
4,2022,BASILICATA,17,EMILIA ROMAGNA,08,92
4,2022,BASILICATA,17,ESTERO,,58
4,2022,BASILICATA,17,FRIULI VENEZIA GIULIA,06,7
4,2022,BASILICATA,17,LAZIO,12,56
4,2022,BASILICATA,17,LIGURIA,07,3
4,2022,BASILICATA,17,LOMBARDIA,03,96
4,2022,BASILICATA,17,MARCHE,11,2
4,2022,BASILICATA,17,PIEMONTE,01,37
4,2022,BASILICATA,17,PUGLIA,16,71
4,2022,BASILICATA,17,SARDEGNA,20,1
4,2022,BASILICATA,17,SICILIA,19,2
4,2022,BASILICATA,17,TOSCANA,09,25
4,2022,BASILICATA,17,TRENTINO ALTO ADIGE,04,3
4,2022,BASILICATA,17,UMBRIA,10,5
4,2022,BASILICATA,17,VENETO,05,16
4,2022,CALABRIA,18,ABRUZZO,13,9
4,2022,CALABRIA,18,BASILICATA,17,14
4,2022,CALABRIA,18,CALABRIA,18,5909
4,2022,CALABRIA,18,CAMPANIA,15,77
4,2022,CALABRIA,18,EMILIA ROMAGNA,08,225
4,2022,CALABRIA,18,ESTERO,,287
4,2022,CALABRIA,18,FRIULI VENEZIA GIULIA,06,21
4,2022,CALABRIA,18,LAZIO,12,225
4,2022,CALABRIA,18,LIGURIA,07,41
4,2022,CALABRIA,18,LOMBARDIA,03,394
4,2022,CALABRIA,18,MARCHE,11,36
4,2022,CALABRIA,18,MOLISE,14,2
4,2022,CALABRIA,18,PIEMONTE,01,133
4,2022,CALABRIA,18,PUGLIA,16,28
4,2022,CALABRIA,18,SARDEGNA,20,4
4,2022,CALABRIA,18,SICILIA,19,71
4,2022,CALABRIA,18,TOSCANA,09,83
4,2022,CALABRIA,18,TRENTINO ALTO ADIGE,04,12
4,2022,CALABRIA,18,UMBRIA,10,25
4,2022,CALABRIA,18,VALLE D'AOSTA,02,3
4,2022,CALABRIA,18,VENETO,05,98
4,2022,CAMPANIA,15,ABRUZZO,13,98
4,2022,CAMPANIA,15,BASILICATA,17,36
4,2022,CAMPANIA,15,CALABRIA,18,86
4,2022,CAMPANIA,15,CAMPANIA,15,20648
4,2022,CAMPANIA,15,EMILIA ROMAGNA,08,536
4,2022,CAMPANIA,15,ESTERO,,455
4,2022,CAMPANIA,15,FRIULI VENEZIA GIULIA,06,85
4,2022,CAMPANIA,15,LAZIO,12,707
4,2022,CAMPANIA,15,LIGURIA,07,73
4,2022,CAMPANIA,15,LOMBARDIA,03,800
4,2022,CAMPANIA,15,MARCHE,11,94
4,2022,CAMPANIA,15,MOLISE,14,48
4,2022,CAMPANIA,15,PIEMONTE,01,198
4,2022,CAMPANIA,15,PUGLIA,16,91
4,2022,CAMPANIA,15,SARDEGNA,20,27
4,2022,CAMPANIA,15,SICILIA,19,62
4,2022,CAMPANIA,15,TOSCANA,09,289
4,2022,CAMPANIA,15,TRENTINO ALTO ADIGE,04,50
