MESE,ANNO,PARTENZA,COD ISTAT REGIONE DI PARTENZA,ARRIVO,COD ISTAT REGIONE DI ARRIVO,TOTALE
11,2022,ABRUZZO,13,ABRUZZO,13,2283
11,2022,ABRUZZO,13,BASILICATA,17,2
11,2022,ABRUZZO,13,CALABRIA,18,1
11,2022,ABRUZZO,13,CAMPANIA,15,19
11,2022,ABRUZZO,13,EMILIA ROMAGNA,08,32
11,2022,ABRUZZO,13,ESTERO,01,6
11,2022,ABRUZZO,13,ESTERO,,217
11,2022,ABRUZZO,13,FRIULI VENEZIA GIULIA,06,2
11,2022,ABRUZZO,13,LAZIO,12,82
11,2022,ABRUZZO,13,LIGURIA,07,2
11,2022,ABRUZZO,13,LOMBARDIA,03,36
11,2022,ABRUZZO,13,MARCHE,11,35
11,2022,ABRUZZO,13,MOLISE,14,1
11,2022,ABRUZZO,13,PIEMONTE,01,13
11,2022,ABRUZZO,13,PUGLIA,16,31
11,2022,ABRUZZO,13,SARDEGNA,20,3
11,2022,ABRUZZO,13,SICILIA,19,4
11,2022,ABRUZZO,13,TOSCANA,09,17
11,2022,ABRUZZO,13,TRENTINO ALTO ADIGE,04,2
11,2022,ABRUZZO,13,UMBRIA,10,3
11,2022,ABRUZZO,13,VALLE D'AOSTA,02,1
11,2022,ABRUZZO,13,VENETO,05,5
11,2022,ABRUZZO,13,,,4
11,2022,BASILICATA,17,ABRUZZO,13,5
11,2022,BASILICATA,17,BASILICATA,17,976
11,2022,BASILICATA,17,CALABRIA,18,25
11,2022,BASILICATA,17,CAMPANIA,15,11
11,2022,BASILICATA,17,EMILIA ROMAGNA,08,38
11,2022,BASILICATA,17,ESTERO,,57
11,2022,BASILICATA,17,FRIULI VENEZIA GIULIA,06,3
11,2022,BASILICATA,17,LAZIO,12,16
11,2022,BASILICATA,17,LIGURIA,07,4
11,2022,BASILICATA,17,LOMBARDIA,03,27
11,2022,BASILICATA,17,MARCHE,11,9
11,2022,BASILICATA,17,MOLISE,14,3
11,2022,BASILICATA,17,PIEMONTE,01,5
11,2022,BASILICATA,17,PUGLIA,16,23
11,2022,BASILICATA,17,SARDEGNA,20,1
11,2022,BASILICATA,17,SICILIA,19,3
