MESE,ANNO,TIPO_SOGGETTO,STATO_DI_LAVORAZIONE,TOTALE
2,2022,Residenti,ACCOLTA,350
2,2022,AIRE,ANNULLATA,1
2,2022,Residenti,ANNULLATA,14
2,2022,Residenti,IN LAVORAZIONE,741
2,2022,AIRE,IRRICEVIBILE,4
2,2022,Residenti,IRRICEVIBILE,220
3,2022,Residenti,ACCOLTA,914
3,2022,AIRE,ANNULLATA,1
3,2022,Residenti,ANNULLATA,24
3,2022,AIRE,IN LAVORAZIONE,3
3,2022,Residenti,IN LAVORAZIONE,965
3,2022,AIRE,IRRICEVIBILE,2
3,2022,Residenti,IRRICEVIBILE,221
4,2022,Residenti,ACCOLTA,799
4,2022,Residenti,ANNULLATA,26
4,2022,AIRE,IN LAVORAZIONE,21
4,2022,Residenti,IN LAVORAZIONE,3060
4,2022,AIRE,IRRICEVIBILE,1
4,2022,Residenti,IRRICEVIBILE,304
5,2022,AIRE,ACCOLTA,7
5,2022,Residenti,ACCOLTA,3907
5,2022,AIRE,ANNULLATA,2
5,2022,Residenti,ANNULLATA,132
5,2022,AIRE,IN LAVORAZIONE,51
5,2022,Residenti,IN LAVORAZIONE,11662
5,2022,AIRE,IRRICEVIBILE,25
5,2022,Residenti,IRRICEVIBILE,1697
6,2022,AIRE,ACCOLTA,10
6,2022,Residenti,ACCOLTA,5972
6,2022,AIRE,ANNULLATA,6
6,2022,Residenti,ANNULLATA,195
6,2022,AIRE,IN LAVORAZIONE,34
6,2022,Residenti,IN LAVORAZIONE,13556
6,2022,AIRE,IRRICEVIBILE,45
6,2022,Residenti,IRRICEVIBILE,1774
7,2022,AIRE,ACCOLTA,6
7,2022,Residenti,ACCOLTA,8169
7,2022,AIRE,ANNULLATA,2
7,2022,Residenti,ANNULLATA,210
7,2022,AIRE,IN LAVORAZIONE,37
7,2022,Residenti,IN LAVORAZIONE,14898
7,2022,AIRE,IRRICEVIBILE,43
7,2022,Residenti,IRRICEVIBILE,1898
8,2022,AIRE,ACCOLTA,7
8,2022,Residenti,ACCOLTA,9874
8,2022,AIRE,ANNULLATA,5
8,2022,Residenti,ANNULLATA,272
8,2022,AIRE,IN LAVORAZIONE,34
8,2022,Residenti,IN LAVORAZIONE,13336
8,2022,AIRE,IRRICEVIBILE,35
8,2022,Residenti,IRRICEVIBILE,2073
9,2022,AIRE,ACCOLTA,8
9,2022,Residenti,ACCOLTA,10643
9,2022,AIRE,ANNULLATA,5
9,2022,Residenti,ANNULLATA,279
