MESE,ANNO,TOTALE
2,2026,6006
1,2026,9540
12,2025,5166
11,2025,7352
10,2025,8920
9,2025,10841
8,2025,5282
7,2025,7711
6,2025,6602
5,2025,6774
4,2025,6204
3,2025,7141
2,2025,7363
1,2025,9027
12,2024,4989
11,2024,6726
10,2024,9025
9,2024,9273
8,2024,4659
7,2024,7146
6,2024,5993
5,2024,6963
4,2024,6367
3,2024,6468
2,2024,7299
1,2024,7944
12,2023,4079
11,2023,6221
10,2023,7884
9,2023,8670
8,2023,4309
7,2023,6119
6,2023,5484
5,2023,6257
4,2023,5311
3,2023,6873
2,2023,7482
1,2023,9123
12,2022,5456
11,2022,7205
10,2022,8169
9,2022,8600
8,2022,4270
7,2022,5995
6,2022,5921
5,2022,6440
4,2022,5379
3,2022,6614
2,2022,6825
1,2022,7035
12,2021,4757
11,2021,6017
