MESE,ANNO,CANALE,TOTALE
11,2025,SPORTELLO POSTE,69
11,2025,TOTEM POSTE,147
10,2025,SPORTELLO POSTE,107
10,2025,TOTEM POSTE,274
9,2025,SPORTELLO POSTE,135
9,2025,TOTEM POSTE,233
8,2025,SPORTELLO POSTE,86
8,2025,TOTEM POSTE,237
7,2025,SPORTELLO POSTE,110
7,2025,TOTEM POSTE,231
6,2025,SPORTELLO POSTE,120
6,2025,TOTEM POSTE,215
5,2025,SPORTELLO POSTE,169
5,2025,TOTEM POSTE,172
4,2025,SPORTELLO POSTE,167
3,2025,SPORTELLO POSTE,109
2,2025,SPORTELLO POSTE,106
2,2025,TOTEM POSTE,102
1,2025,SPORTELLO POSTE,89
1,2025,TOTEM POSTE,353
12,2024,SPORTELLO POSTE,95
12,2024,TOTEM POSTE,275
11,2024,SPORTELLO POSTE,71
11,2024,TOTEM POSTE,301
10,2024,SPORTELLO POSTE,32
10,2024,TOTEM POSTE,367
9,2024,SPORTELLO POSTE,30
9,2024,TOTEM POSTE,278
8,2024,SPORTELLO POSTE,26
8,2024,TOTEM POSTE,222
7,2024,SPORTELLO POSTE,36
7,2024,TOTEM POSTE,222
6,2024,SPORTELLO POSTE,37
6,2024,TOTEM POSTE,243
5,2024,SPORTELLO POSTE,55
5,2024,TOTEM POSTE,287
4,2024,SPORTELLO POSTE,30
4,2024,TOTEM POSTE,263
3,2024,SPORTELLO POSTE,57
3,2024,TOTEM POSTE,256
2,2024,SPORTELLO POSTE,24
2,2024,TOTEM POSTE,244
1,2024,SPORTELLO POSTE,12
1,2024,TOTEM POSTE,201
12,2023,TOTEM POSTE,160
11,2023,TOTEM POSTE,222
10,2023,TOTEM POSTE,184
9,2023,TOTEM POSTE,153
8,2023,TOTEM POSTE,37
