MESE,ANNO,TIPO_SOGGETTO,TOTALE
2,2022,AIRE,5
2,2022,Residenti,1325
3,2022,AIRE,6
3,2022,Residenti,1537
4,2022,AIRE,20
4,2022,Residenti,3553
5,2022,AIRE,71
5,2022,Residenti,14893
6,2022,AIRE,66
6,2022,Residenti,15361
7,2022,AIRE,72
7,2022,Residenti,16475
8,2022,AIRE,61
8,2022,Residenti,14153
9,2022,AIRE,79
9,2022,Residenti,18616
10,2022,AIRE,72
10,2022,Residenti,21862
11,2022,AIRE,42
11,2022,Residenti,21795
12,2022,AIRE,40
12,2022,Residenti,21110
1,2023,AIRE,95
1,2023,Residenti,31344
2,2023,AIRE,61
2,2023,Residenti,24931
3,2023,AIRE,76
3,2023,Residenti,26655
4,2023,AIRE,66
4,2023,Residenti,22843
5,2023,AIRE,62
5,2023,Residenti,26604
6,2023,AIRE,57
6,2023,Residenti,24076
7,2023,AIRE,79
7,2023,Residenti,27062
8,2023,AIRE,64
8,2023,Residenti,22087
9,2023,AIRE,89
9,2023,Residenti,28257
10,2023,AIRE,96
10,2023,Residenti,31204
11,2023,AIRE,98
11,2023,Residenti,27912
12,2023,AIRE,135
12,2023,Residenti,27214
1,2024,AIRE,90
1,2024,Residenti,35349
2,2024,AIRE,69
2,2024,Residenti,29119
3,2024,AIRE,84
3,2024,Residenti,28079
4,2024,AIRE,91
4,2024,Residenti,27893
5,2024,AIRE,120
5,2024,Residenti,30588
6,2024,AIRE,97
6,2024,Residenti,31077
7,2024,AIRE,117
7,2024,Residenti,32666
8,2024,AIRE,82
8,2024,Residenti,23857
9,2024,AIRE,111
9,2024,Residenti,34513
10,2024,AIRE,121
10,2024,Residenti,38007
11,2024,AIRE,93
11,2024,Residenti,34529
12,2024,AIRE,85
12,2024,Residenti,35034
1,2025,AIRE,139
1,2025,Residenti,44125
2,2025,AIRE,99
2,2025,Residenti,37603
3,2025,AIRE,134
3,2025,Residenti,40754
4,2025,AIRE,145
4,2025,Residenti,37526
