PROVENIENZA,REGIONE,COMUNE,TOTALE
ANGOLA,LAZIO,ROMA,1
AUSTRIA,FRIULI VENEZIA GIULIA,UDINE,1
AUSTRIA,SARDEGNA,VILLAMAR,1
AUSTRIA,TRENTINO ALTO ADIGE,BOLZANO,3
BELGIO,CAMPANIA,NAPOLI,1
BELGIO,CAMPANIA,SORRENTO,1
BELGIO,LAZIO,ROMA,3
BELGIO,LOMBARDIA,MILANO,2
BELGIO,LOMBARDIA,REZZATO,1
BELGIO,SICILIA,MASCALI,1
BOSNIA-ERZEGOVINA,PIEMONTE,ASTI,1
BRASILE,LOMBARDIA,MILANO,1
BRASILE,LOMBARDIA,SESTO SAN GIOVANNI,1
CROAZIA,LOMBARDIA,MILANO,1
DANIMARCA,LAZIO,ROMA,5
DANIMARCA,PUGLIA,BARI,1
DANIMARCA,TOSCANA,SOVICILLE,1
DANIMARCA,VENETO,MARCON,1
ESTONIA,CAMPANIA,NAPOLI,1
ESTONIA,LIGURIA,SANREMO,1
ESTONIA,LOMBARDIA,COMO,1
FRANCIA,ABRUZZO,MONTESILVANO,1
FRANCIA,CAMPANIA,NAPOLI,2
FRANCIA,CAMPANIA,SORRENTO,1
FRANCIA,EMILIA ROMAGNA,CASALECCHIO DI RENO,1
FRANCIA,EMILIA ROMAGNA,MODENA,1
FRANCIA,LAZIO,ROMA,7
FRANCIA,LOMBARDIA,CANTÙ,1
FRANCIA,LOMBARDIA,COMO,1
FRANCIA,LOMBARDIA,MILANO,14
FRANCIA,LOMBARDIA,SESTO SAN GIOVANNI,1
FRANCIA,LOMBARDIA,VALDISOTTO,1
FRANCIA,PIEMONTE,TORINO,3
FRANCIA,SICILIA,CATANIA,1
FRANCIA,SICILIA,PALERMO,1
FRANCIA,TRENTINO ALTO ADIGE,TRENTO,1
FRANCIA,VENETO,PADOVA,2
GERMANIA,EMILIA ROMAGNA,MODENA,1
GERMANIA,FRIULI VENEZIA GIULIA,MANIAGO,1
GERMANIA,FRIULI VENEZIA GIULIA,PORDENONE,1
GERMANIA,LAZIO,ANZIO,1
GERMANIA,LAZIO,ROMA,1
GERMANIA,LOMBARDIA,MILANO,1
GERMANIA,LOMBARDIA,PIOLTELLO,2
GERMANIA,SARDEGNA,SASSARI,3
GERMANIA,SICILIA,AGRIGENTO,1
GERMANIA,TOSCANA,ANGHIARI,2
GERMANIA,TOSCANA,CAMPIGLIA MARITTIMA,2
GERMANIA,TOSCANA,CASTELNUOVO BERARDENGA,1
GERMANIA,TRENTINO ALTO ADIGE,BOLZANO,6
LETTONIA,LAZIO,ROMA,1
LETTONIA,PIEMONTE,NOVARA,1
LETTONIA,PIEMONTE,PERRERO,1
LETTONIA,SICILIA,PALERMO,1
LITUANIA,CAMPANIA,TORRE LE NOCELLE,1
LITUANIA,SICILIA,PALERMO,1
PAESI BASSI,EMILIA ROMAGNA,BOLOGNA,1
PAESI BASSI,LAZIO,ROMA,1
PAESI BASSI,LIGURIA,GENOVA,1
PAESI BASSI,LOMBARDIA,CINISELLO BALSAMO,1
PAESI BASSI,LOMBARDIA,MILANO,4
PAESI BASSI,LOMBARDIA,SOLTO COLLINA,1
PAESI BASSI,MARCHE,ANCONA,1
PAESI BASSI,PIEMONTE,RUBIANA,1
PAESI BASSI,SICILIA,RIPOSTO,1
PAESI BASSI,UMBRIA,PERUGIA,1
PAESI BASSI,VENETO,PADOVA,2
PAESI BASSI,VENETO,VENEZIA,1
PAKISTAN,LAZIO,ROMA,1
POLONIA,LIGURIA,GENOVA,1
POLONIA,LOMBARDIA,MILANO,2
POLONIA,PIEMONTE,TORINO,1
POLONIA,SICILIA,AGRIGENTO,1
POLONIA,UMBRIA,CASTIGLIONE DEL LAGO,1
POLONIA,VENETO,LEGNAGO,1
POLONIA,VENETO,PADOVA,2
PORTOGALLO,LAZIO,ROMA,1
PORTOGALLO,LOMBARDIA,GALLARATE,5
PORTOGALLO,LOMBARDIA,MILANO,5
PORTOGALLO,MARCHE,FABRIANO,1
PORTOGALLO,MARCHE,PESARO,1
PORTOGALLO,PUGLIA,ORDONA,1
PORTOGALLO,TOSCANA,SESTO FIORENTINO,1
PORTOGALLO,VENETO,VENEZIA,1
REGNO UNITO,LAZIO,ROMA,1
REGNO UNITO,PIEMONTE,TORINO,1
REPUBBLICA CECA,LAZIO,ROMA,2
REPUBBLICA CECA,SARDEGNA,ARBUS,1
ROMANIA,EMILIA ROMAGNA,MOLINELLA,1
ROMANIA,LAZIO,MONTEROTONDO,1
ROMANIA,LAZIO,ROMA,1
ROMANIA,LOMBARDIA,CINISELLO BALSAMO,3
ROMANIA,LOMBARDIA,PERO,1
ROMANIA,PIEMONTE,TORINO,1
ROMANIA,VENETO,VERONA,1
SLOVENIA,CAMPANIA,NAPOLI,1
SLOVENIA,FRIULI VENEZIA GIULIA,GORIZIA,1
SPAGNA,EMILIA ROMAGNA,RIMINI,1
SPAGNA,LOMBARDIA,MILANO,3
SPAGNA,LOMBARDIA,MONTELLO,1
STATI UNITI D'AMERICA,FRIULI VENEZIA GIULIA,TRIESTE,1
SVEZIA,EMILIA ROMAGNA,RIMINI,1
SVEZIA,LOMBARDIA,MILANO,1
SVEZIA,SICILIA,CATANIA,1
SVEZIA,SICILIA,SIRACUSA,1
