MESE,ANNO,UTILE,NON_UTILE
11,2025,59,9
10,2025,91,17
9,2025,70,29
8,2025,63,16
7,2025,86,29
6,2025,88,26
5,2025,91,28
4,2025,104,36
3,2025,89,23
2,2025,110,26
1,2025,145,78
12,2024,66,26
11,2024,67,24
10,2024,127,49
9,2024,103,33
8,2024,90,42
7,2024,80,36
6,2024,110,35
5,2024,126,42
4,2024,142,40
3,2024,133,51
2,2024,85,25
1,2024,85,26
12,2023,122,39
11,2023,133,73
10,2023,132,45
9,2023,96,38
8,2023,60,17
7,2023,140,51
6,2023,116,43
5,2023,91,23
4,2023,61,19
3,2023,124,40
2,2023,149,34
1,2023,184,48
12,2022,154,16
