DATA_ELABORAZIONE,POPOLAZIONE_TOTALE,RESIDENTI,AIRE
05-12-2025,66140855,59502035,6638820
04-12-2025,66139812,59502078,6637734
03-12-2025,66139307,59502408,6636899
02-12-2025,66138588,59502573,6636015
01-12-2025,66138147,59503042,6635105
30-11-2025,66138342,59503269,6635073
29-11-2025,66138587,59503696,6634891
28-11-2025,66138027,59503867,6634160
27-11-2025,66136855,59503828,6633027
26-11-2025,66135867,59503674,6632193
25-11-2025,66135104,59503715,6631389
24-11-2025,66134751,59503993,6630758
23-11-2025,66134868,59504234,6630634
22-11-2025,66135072,59504634,6630438
21-11-2025,66134454,59504566,6629888
20-11-2025,66133419,59504291,6629128
19-11-2025,66132453,59504189,6628264
18-11-2025,66131434,59504308,6627126
17-11-2025,66130967,59504634,6626333
16-11-2025,66131135,59504813,6626322
15-11-2025,66131208,59505032,6626176
14-11-2025,66130347,59505016,6625331
13-11-2025,66129250,59504881,6624369
12-11-2025,66128329,59504830,6623499
11-11-2025,66127441,59504972,6622469
10-11-2025,66126911,59505334,6621577
09-11-2025,66127070,59505516,6621554
08-11-2025,66127248,59505797,6621451
07-11-2025,66126448,59505850,6620598
05-11-2025,66124476,59505617,6618859
04-11-2025,66123706,59505819,6617887
03-11-2025,66123375,59506244,6617131
02-11-2025,66123603,59506486,6617117
01-11-2025,66123846,59506736,6617110
31-10-2025,66122941,59506586,6616355
30-10-2025,66121858,59506508,6615350
29-10-2025,66121011,59506671,6614340
28-10-2025,66119858,59506535,6613323
27-10-2025,66119083,59506709,6612374
26-10-2025,66119238,59506867,6612371
25-10-2025,66119459,59507238,6612221
24-10-2025,66118765,59507338,6611427
23-10-2025,66117508,59507132,6610376
22-10-2025,66116424,59506925,6609499
21-10-2025,66114888,59506417,6608471
20-10-2025,66114236,59506606,6607630
19-10-2025,66114402,59506785,6607617
18-10-2025,66114563,59507101,6607462
17-10-2025,66113649,59507037,6606612
16-10-2025,66112371,59506642,6605729
15-10-2025,66111686,59506547,6605139
14-10-2025,66110552,59506459,6604093
13-10-2025,66110264,59506732,6603532
12-10-2025,66110468,59506962,6603506
11-10-2025,66110698,59507361,6603337
10-10-2025,66109950,59507177,6602773
09-10-2025,66108722,59506639,6602083
08-10-2025,66107559,59506290,6601269
07-10-2025,66106359,59505917,6600442
06-10-2025,66105648,59505806,6599842
