DATA ELABORAZIONE,REGIONE,PROVINCIA,COD_ISTAT_COMUNE,COMUNE,RESIDENTI
28-08-2023,ABRUZZO,CHIETI,069001,ALTINO,3098
28-08-2023,ABRUZZO,CHIETI,069002,ARCHI,1982
28-08-2023,ABRUZZO,CHIETI,069003,ARI,1078
28-08-2023,ABRUZZO,CHIETI,069004,ARIELLI,1068
28-08-2023,ABRUZZO,CHIETI,069005,ATESSA,10391
28-08-2023,ABRUZZO,CHIETI,069006,BOMBA,714
28-08-2023,ABRUZZO,CHIETI,069007,BORRELLO,352
28-08-2023,ABRUZZO,CHIETI,069008,BUCCHIANICO,4972
28-08-2023,ABRUZZO,CHIETI,069010,CANOSA SANNITA,1278
28-08-2023,ABRUZZO,CHIETI,069011,CARPINETO SINELLO,491
28-08-2023,ABRUZZO,CHIETI,069012,CARUNCHIO,557
28-08-2023,ABRUZZO,CHIETI,069013,CASACANDITELLA,1195
28-08-2023,ABRUZZO,CHIETI,069014,CASALANGUIDA,820
28-08-2023,ABRUZZO,CHIETI,069015,CASALBORDINO,5819
28-08-2023,ABRUZZO,CHIETI,069016,CASALINCONTRADA,3004
28-08-2023,ABRUZZO,CHIETI,069017,CASOLI,5158
28-08-2023,ABRUZZO,CHIETI,069018,CASTEL FRENTANO,4289
28-08-2023,ABRUZZO,CHIETI,069019,CASTELGUIDONE,291
28-08-2023,ABRUZZO,CHIETI,069020,CASTIGLIONE MESSER MARINO,1499
28-08-2023,ABRUZZO,CHIETI,069021,CELENZA SUL TRIGNO,781
28-08-2023,ABRUZZO,CHIETI,069022,CHIETI,49301
28-08-2023,ABRUZZO,CHIETI,069023,CIVITALUPARELLA,287
28-08-2023,ABRUZZO,CHIETI,069024,CIVITELLA MESSER RAIMONDO,772
28-08-2023,ABRUZZO,CHIETI,069025,COLLEDIMACINE,156
28-08-2023,ABRUZZO,CHIETI,069026,COLLEDIMEZZO,441
28-08-2023,ABRUZZO,CHIETI,069027,CRECCHIO,2676
28-08-2023,ABRUZZO,CHIETI,069028,CUPELLO,4873
28-08-2023,ABRUZZO,CHIETI,069029,DOGLIOLA,316
28-08-2023,ABRUZZO,CHIETI,069104,FALLO,119
28-08-2023,ABRUZZO,CHIETI,069030,FARA FILIORUM PETRI,1963
28-08-2023,ABRUZZO,CHIETI,069031,FARA SAN MARTINO,1288
28-08-2023,ABRUZZO,CHIETI,069032,FILETTO,845
28-08-2023,ABRUZZO,CHIETI,069033,FOSSACESIA,6365
28-08-2023,ABRUZZO,CHIETI,069034,FRAINE,259
28-08-2023,ABRUZZO,CHIETI,069035,FRANCAVILLA AL MARE,26136
28-08-2023,ABRUZZO,CHIETI,069036,FRESAGRANDINARIA,930
28-08-2023,ABRUZZO,CHIETI,069037,FRISA,1652
28-08-2023,ABRUZZO,CHIETI,069038,FURCI,805
28-08-2023,ABRUZZO,CHIETI,069039,GAMBERALE,272
28-08-2023,ABRUZZO,CHIETI,069040,GESSOPALENA,1210
28-08-2023,ABRUZZO,CHIETI,069041,GISSI,2482
28-08-2023,ABRUZZO,CHIETI,069042,GIULIANO TEATINO,1152
28-08-2023,ABRUZZO,CHIETI,069043,GUARDIAGRELE,8474
28-08-2023,ABRUZZO,CHIETI,069044,GUILMI,417
28-08-2023,ABRUZZO,CHIETI,069045,LAMA DEI PELIGNI,1081
28-08-2023,ABRUZZO,CHIETI,069046,LANCIANO,34103
28-08-2023,ABRUZZO,CHIETI,069047,LENTELLA,661
28-08-2023,ABRUZZO,CHIETI,069048,LETTOPALENA,316
28-08-2023,ABRUZZO,CHIETI,069049,LISCIA,643
28-08-2023,ABRUZZO,CHIETI,069050,MIGLIANICO,4716
28-08-2023,ABRUZZO,CHIETI,069051,MONTAZZOLI,821
28-08-2023,ABRUZZO,CHIETI,069009,MONTEBELLO SUL SANGRO,88
28-08-2023,ABRUZZO,CHIETI,069052,MONTEFERRANTE,108
28-08-2023,ABRUZZO,CHIETI,069053,MONTELAPIANO,73
28-08-2023,ABRUZZO,CHIETI,069054,MONTENERODOMO,598
28-08-2023,ABRUZZO,CHIETI,069055,MONTEODORISIO,2374
28-08-2023,ABRUZZO,CHIETI,069056,MOZZAGROGNA,2449
28-08-2023,ABRUZZO,CHIETI,069057,ORSOGNA,3749
28-08-2023,ABRUZZO,CHIETI,069058,ORTONA,22407
28-08-2023,ABRUZZO,CHIETI,069059,PAGLIETA,4191
28-08-2023,ABRUZZO,CHIETI,069060,PALENA,1239
28-08-2023,ABRUZZO,CHIETI,069061,PALMOLI,818
28-08-2023,ABRUZZO,CHIETI,069062,PALOMBARO,951
28-08-2023,ABRUZZO,CHIETI,069063,PENNADOMO,214
28-08-2023,ABRUZZO,CHIETI,069064,PENNAPIEDIMONTE,404
28-08-2023,ABRUZZO,CHIETI,069065,PERANO,1493
28-08-2023,ABRUZZO,CHIETI,069103,PIETRAFERRAZZANA,132
28-08-2023,ABRUZZO,CHIETI,069066,PIZZOFERRATO,963
28-08-2023,ABRUZZO,CHIETI,069067,POGGIOFIORITO,782
28-08-2023,ABRUZZO,CHIETI,069068,POLLUTRI,2073
28-08-2023,ABRUZZO,CHIETI,069069,PRETORO,870
28-08-2023,ABRUZZO,CHIETI,069070,QUADRI,695
28-08-2023,ABRUZZO,CHIETI,069071,RAPINO,1177
28-08-2023,ABRUZZO,CHIETI,069072,RIPA TEATINA,3933
28-08-2023,ABRUZZO,CHIETI,069074,ROCCA SAN GIOVANNI,2321
28-08-2023,ABRUZZO,CHIETI,069073,ROCCAMONTEPIANO,1584
28-08-2023,ABRUZZO,CHIETI,069075,ROCCASCALEGNA,1054
28-08-2023,ABRUZZO,CHIETI,069076,ROCCASPINALVETI,1172
28-08-2023,ABRUZZO,CHIETI,069077,ROIO DEL SANGRO,97
28-08-2023,ABRUZZO,CHIETI,069078,ROSELLO,164
28-08-2023,ABRUZZO,CHIETI,069079,SAN BUONO,855
28-08-2023,ABRUZZO,CHIETI,069080,SAN GIOVANNI LIPIONI,136
28-08-2023,ABRUZZO,CHIETI,069081,SAN GIOVANNI TEATINO,14581
28-08-2023,ABRUZZO,CHIETI,069082,SAN MARTINO SULLA MARRUCINA,840
28-08-2023,ABRUZZO,CHIETI,069083,SAN SALVO,20160
28-08-2023,ABRUZZO,CHIETI,069086,SAN VITO CHIETINO,5285
28-08-2023,ABRUZZO,CHIETI,069085,SANT'EUSANIO DEL SANGRO,2297
28-08-2023,ABRUZZO,CHIETI,069084,SANTA MARIA IMBARO,2018
28-08-2023,ABRUZZO,CHIETI,069087,SCERNI,2983
28-08-2023,ABRUZZO,CHIETI,069088,SCHIAVI DI ABRUZZO,655
28-08-2023,ABRUZZO,CHIETI,069089,TARANTA PELIGNA,299
28-08-2023,ABRUZZO,CHIETI,069090,TOLLO,3976
28-08-2023,ABRUZZO,CHIETI,069091,TORINO DI SANGRO,2914
28-08-2023,ABRUZZO,CHIETI,069092,TORNARECCIO,1674
28-08-2023,ABRUZZO,CHIETI,069093,TORREBRUNA,676
28-08-2023,ABRUZZO,CHIETI,069094,TORREVECCHIA TEATINA,4233
28-08-2023,ABRUZZO,CHIETI,069095,TORRICELLA PELIGNA,1149
28-08-2023,ABRUZZO,CHIETI,069096,TREGLIO,1750
28-08-2023,ABRUZZO,CHIETI,069097,TUFILLO,338
28-08-2023,ABRUZZO,CHIETI,069098,VACRI,1533
28-08-2023,ABRUZZO,CHIETI,069099,VASTO,41580
28-08-2023,ABRUZZO,CHIETI,069102,VILLA SANTA MARIA,1202
28-08-2023,ABRUZZO,CHIETI,069100,VILLALFONSINA,886
28-08-2023,ABRUZZO,CHIETI,069101,VILLAMAGNA,2178
28-08-2023,ABRUZZO,L'AQUILA,066001,ACCIANO,258
28-08-2023,ABRUZZO,L'AQUILA,066002,AIELLI,1405
28-08-2023,ABRUZZO,L'AQUILA,066003,ALFEDENA,922
28-08-2023,ABRUZZO,L'AQUILA,066004,ANVERSA DEGLI ABRUZZI,316
28-08-2023,ABRUZZO,L'AQUILA,066005,ATELETA,1112
28-08-2023,ABRUZZO,L'AQUILA,066006,AVEZZANO,41027
28-08-2023,ABRUZZO,L'AQUILA,066007,BALSORANO,3320
28-08-2023,ABRUZZO,L'AQUILA,066008,BARETE,635
28-08-2023,ABRUZZO,L'AQUILA,066009,BARISCIANO,1667
28-08-2023,ABRUZZO,L'AQUILA,066010,BARREA,704
28-08-2023,ABRUZZO,L'AQUILA,066011,BISEGNA,219
28-08-2023,ABRUZZO,L'AQUILA,066012,BUGNARA,1039
28-08-2023,ABRUZZO,L'AQUILA,066013,CAGNANO AMITERNO,1183
28-08-2023,ABRUZZO,L'AQUILA,066014,CALASCIO,126
28-08-2023,ABRUZZO,L'AQUILA,066015,CAMPO DI GIOVE,746
28-08-2023,ABRUZZO,L'AQUILA,066016,CAMPOTOSTO,473
28-08-2023,ABRUZZO,L'AQUILA,066017,CANISTRO,904
28-08-2023,ABRUZZO,L'AQUILA,066018,CANSANO,225
28-08-2023,ABRUZZO,L'AQUILA,066019,CAPESTRANO,841
28-08-2023,ABRUZZO,L'AQUILA,066020,CAPISTRELLO,4809
28-08-2023,ABRUZZO,L'AQUILA,066021,CAPITIGNANO,619
28-08-2023,ABRUZZO,L'AQUILA,066022,CAPORCIANO,203
28-08-2023,ABRUZZO,L'AQUILA,066023,CAPPADOCIA,573
28-08-2023,ABRUZZO,L'AQUILA,066024,CARAPELLE CALVISIO,76
28-08-2023,ABRUZZO,L'AQUILA,066025,CARSOLI,5036
28-08-2023,ABRUZZO,L'AQUILA,066026,CASTEL DEL MONTE,410
28-08-2023,ABRUZZO,L'AQUILA,066027,CASTEL DI IERI,293
28-08-2023,ABRUZZO,L'AQUILA,066028,CASTEL DI SANGRO,6741
