DATA_ELABORAZIONE,TOTALE,PERCENTUALE,EMAIL,TELEFONO,DOMICILIO_DIGITALE
31-05-2025,5550094,8,2929795,3427789,2611186
30-05-2025,5543098,8,2923383,3422007,2610803
29-05-2025,5534255,8,2915152,3414567,2610534
28-05-2025,5524981,8,2906476,3406654,2610292
27-05-2025,5515346,8,2897456,3398479,2610094
26-05-2025,5503096,8,2888399,3390145,2606559
25-05-2025,5499375,8,2884838,3386966,2606559
24-05-2025,5495807,8,2881460,3383944,2606559
23-05-2025,5488353,8,2874282,3377550,2606559
22-05-2025,5479404,8,2865917,3369770,2606559
21-05-2025,5469845,8,2856621,3361395,2606559
20-05-2025,5460138,8,2848275,3352715,2606559
19-05-2025,5450498,8,2838976,3344215,2606674
18-05-2025,5447047,8,2835746,3341367,2606552
17-05-2025,5443447,8,2832307,3338273,2606497
16-05-2025,5435958,8,2825120,3331695,2606473
15-05-2025,5426529,8,2816604,3323906,2605926
14-05-2025,5416886,8,2807395,3315489,2605938
13-05-2025,5407210,8,2798011,3306807,2606114
12-05-2025,5396952,8,2788399,3297935,2606028
11-05-2025,5393675,8,2785208,3295063,2606074
10-05-2025,5389966,8,2781855,3292046,2605799
09-05-2025,5382403,8,2774919,3285721,2605456
08-05-2025,5373109,8,2766520,3278100,2604849
07-05-2025,5363579,8,2757524,3270024,2604678
06-05-2025,5353824,8,2748358,3261658,2604478
05-05-2025,5343606,8,2738635,3252824,2604449
04-05-2025,5339688,8,2734942,3249557,2604311
03-05-2025,5336583,8,2732095,3246938,2604153
02-05-2025,5330600,8,2726385,3241729,2604097
01-05-2025,5327294,8,2723247,3238984,2603929
30-04-2025,5319625,8,2715873,3232480,2603757
29-04-2025,5310428,8,2708098,3224344,2603554
28-04-2025,5300356,8,2698801,3215963,2603098
27-04-2025,5296934,8,2695699,3213234,2602849
26-04-2025,5294091,8,2693142,3210925,2602602
25-04-2025,5290664,8,2690051,3208166,2602273
24-04-2025,5282389,8,2682492,3201251,2601850
23-04-2025,5273139,8,2673729,3193314,2601721
22-04-2025,5264362,8,2665386,3185737,2601749
21-04-2025,5261297,8,2662854,3183459,2601314
20-04-2025,5256755,8,2661046,3181762,2598526
19-04-2025,5253929,8,2658529,3179486,2598254
18-04-2025,5247874,8,2652961,3174314,2598098
17-04-2025,5238420,8,2645547,3167517,2596309
16-04-2025,5229434,8,2637213,3159970,2596029
15-04-2025,5219694,8,2628162,3151798,2595637
14-04-2025,5209607,8,2618710,3143223,2595470
13-04-2025,5205440,8,2614855,3139864,2595267
12-04-2025,5201725,8,2611479,3136867,2594977
11-04-2025,5194211,8,2604626,3130626,2594535
10-04-2025,5185575,8,2596316,3122972,2594698
09-04-2025,5176135,8,2587368,3114797,2594665
08-04-2025,5166765,8,2578651,3106599,2594641
07-04-2025,5156955,8,2569103,3097885,2594912
06-04-2025,5153042,8,2565555,3094707,2594573
05-04-2025,5149667,8,2562325,3091818,2594579
04-04-2025,5141684,8,2555357,3085394,2593733
03-04-2025,5132448,8,2546636,3077472,2593733
02-04-2025,5122606,8,2537399,3069148,2593545
01-04-2025,5112424,8,2527572,3060243,2593663
31-03-2025,5102283,8,2517816,3051489,2593660
30-03-2025,5097787,8,2514368,3048386,2592679
29-03-2025,5093379,8,2510444,3044969,2592222
28-03-2025,5085206,8,2503630,3038287,2591495
27-03-2025,5075968,8,2494779,3030378,2591416
26-03-2025,5066213,8,2485615,3021995,2591356
25-03-2025,5056070,8,2475945,3013206,2591104
24-03-2025,5045347,8,2465993,3004100,2590882
23-03-2025,5040890,8,2461884,3000436,2590680
22-03-2025,5036294,8,2457754,2996771,2590298
21-03-2025,5027979,8,2450362,2989883,2589839
20-03-2025,5018439,8,2441634,2981878,2589428
19-03-2025,5008970,8,2432760,2973747,2589247
18-03-2025,4998765,8,2423301,2964880,2589102
17-03-2025,4987850,8,2413078,2955647,2588943
16-03-2025,4983407,8,2409029,2952060,2588662
15-03-2025,4978811,8,2404713,2948317,2588417
14-03-2025,4970216,8,2397061,2941074,2588039
13-03-2025,4959783,8,2387854,2932620,2587273
12-03-2025,4949411,7,2377915,2923603,2587254
11-03-2025,4938717,7,2367583,2914311,2587251
10-03-2025,4927530,7,2359176,2904328,2586945
09-03-2025,4922896,7,2355269,2900519,2586650
08-03-2025,4919077,7,2351935,2897245,2586650
07-03-2025,4910625,7,2345364,2890186,2586000
06-03-2025,4900967,7,2337236,2881790,2585821
05-03-2025,4891137,7,2328799,2872876,2586012
04-03-2025,4881067,7,2319972,2864122,2586012
03-03-2025,4869812,7,2310560,2854640,2585575
02-03-2025,4865583,7,2306881,2851065,2585385
01-03-2025,4860830,7,2302964,2847290,2584885
28-02-2025,4851537,7,2295486,2839748,2584097
27-02-2025,4842445,7,2287532,2831573,2584235
26-02-2025,4831821,7,2278304,2822308,2583977
25-02-2025,4820852,7,2268398,2812837,2583977
24-02-2025,4809037,7,2258165,2803174,2583167
23-02-2025,4804629,7,2254017,2799454,2583167
22-02-2025,4799742,7,2249859,2795573,2582662
21-02-2025,4790598,7,2241673,2787952,2582221
20-02-2025,4779197,7,2231617,2778885,2581307
19-02-2025,4768125,7,2221150,2769393,2581204
18-02-2025,4756704,7,2210274,2759440,2581248
17-02-2025,4744485,7,2199236,2749146,2580805
16-02-2025,4740192,7,2195018,2745360,2580997
15-02-2025,4735747,7,2190930,2741721,2580755
14-02-2025,4727481,7,2182995,2734216,2581121
13-02-2025,4718277,7,2172498,2724603,2583249
12-02-2025,4709062,7,2160687,2714008,2586770
11-02-2025,4695523,7,2146924,2701494,2587199
10-02-2025,4690241,7,2142072,2696659,2587001
09-02-2025,4688814,7,2140689,2695018,2586941
08-02-2025,4687801,7,2139377,2693431,2587149
07-02-2025,4685651,7,2137288,2690924,2587149
06-02-2025,4682906,7,2134894,2687970,2586831
05-02-2025,4680076,7,2132347,2684801,2586589
04-02-2025,4677170,7,2129704,2681564,2586374
03-02-2025,4673938,7,2126760,2678004,2586156
02-02-2025,4672462,7,2125445,2676420,2585987
01-02-2025,4670902,7,2124083,2674852,2585746
31-01-2025,4667990,7,2121975,2672274,2584879
30-01-2025,4665098,7,2119472,2669244,2584495
29-01-2025,4662336,7,2116821,2665986,2584408
28-01-2025,4659169,7,2113967,2662531,2584079
27-01-2025,4656095,7,2111029,2658930,2584071
26-01-2025,4654700,7,2109676,2657297,2584045
25-01-2025,4653204,7,2108466,2655830,2583703
24-01-2025,4650922,7,2106338,2653200,2583611
23-01-2025,4647461,7,2103704,2649965,2582797
22-01-2025,4644713,7,2100997,2646670,2582768
21-01-2025,4641524,7,2098165,2643132,2582501
20-01-2025,4638053,7,2095279,2639503,2582039
19-01-2025,4636554,7,2093902,2637854,2581891
18-01-2025,4635080,7,2092679,2636419,2581588
17-01-2025,4632522,7,2090480,2633717,2581263
16-01-2025,4629488,7,2087896,2630464,2580803
15-01-2025,4626613,7,2085035,2627018,2580828
14-01-2025,4623484,7,2082036,2623380,2580738
13-01-2025,4619879,7,2078931,2619539,2580406
12-01-2025,4617672,7,2077388,2617732,2579633
11-01-2025,4616474,7,2076208,2616333,2579633
10-01-2025,4612779,7,2073799,2613328,2578333
09-01-2025,4609682,7,2070724,2609474,2578331
08-01-2025,4606312,7,2067456,2605417,2578245
07-01-2025,4603001,7,2064075,2600945,2578452
06-01-2025,4601235,7,2062597,2599204,2578158
05-01-2025,4599779,7,2061568,2597995,2577687
04-01-2025,4598426,7,2060321,2596490,2577494
03-01-2025,4595774,7,2058059,2593684,2577118
02-01-2025,4592943,7,2055420,2590534,2576967
01-01-2025,4592124,7,2054405,2589393,2577118
31-12-2024,4591299,7,2053449,2588311,2577225
30-12-2024,4589155,7,2051535,2586011,2576988
29-12-2024,4588088,7,2050598,2584906,2576832
28-12-2024,4586238,7,2049544,2583670,2575957
27-12-2024,4584248,7,2047818,2581635,2575656
26-12-2024,4583162,7,2046921,2580588,2575451
25-12-2024,4582735,7,2046466,2580013,2575484
24-12-2024,4582086,7,2045721,2579146,2575529
23-12-2024,4580511,7,2044240,2577375,2575465
22-12-2024,4579518,7,2043383,2576386,2575258
21-12-2024,4578477,7,2042519,2575326,2575032
20-12-2024,4576890,7,2040992,2573459,2574934
19-12-2024,4574630,7,2039142,2571134,2574531
18-12-2024,4572754,7,2037197,2568814,2574575
17-12-2024,4570531,7,2035114,2566199,2574511
16-12-2024,4568170,7,2032861,2563520,2574384
15-12-2024,4566167,7,2031825,2562305,2573363
14-12-2024,4565115,7,2030862,2561191,2573219
13-12-2024,4562894,7,2029026,2558960,2572807
12-12-2024,4560561,7,2026965,2556425,2572583
11-12-2024,4558100,7,2024660,2553613,2572441
10-12-2024,4555560,7,2022237,2550738,2572294
09-12-2024,4553032,7,2019818,2547843,2572214
08-12-2024,4551685,7,2018769,2546604,2571904
07-12-2024,4551186,7,2017799,2545446,2572380
06-12-2024,4551222,7,2016038,2543330,2574288
05-12-2024,4550324,7,2013775,2540605,2575751
04-12-2024,4548047,7,2011438,2537712,2575853
03-12-2024,4548230,7,2009073,2534899,2578638
02-12-2024,4546156,7,2006787,2532059,2578933
01-12-2024,4544478,7,2005752,2530850,2578184
30-11-2024,4539748,7,2004766,2529671,2574007
29-11-2024,4535165,7,2002983,2527518,2570895
28-11-2024,4529586,7,2000983,2525070,2567030
27-11-2024,4524630,7,1998932,2522527,2563823
26-11-2024,4519567,7,1996802,2519863,2560597
25-11-2024,4516282,7,1994511,2517070,2559525
24-11-2024,4513308,7,1993537,2515920,2557296
23-11-2024,4509459,7,1992576,2514758,2553975
22-11-2024,4504968,7,1990815,2512586,2550955
21-11-2024,4500370,7,1988799,2510054,2548126
20-11-2024,4495957,7,1986497,2507273,2545802
19-11-2024,4491811,7,1984082,2504349,2543814
18-11-2024,4488556,7,1981697,2501439,2542918
17-11-2024,4486277,7,1980661,2500193,2541531
16-11-2024,4483740,7,1979710,2499049,2539713
15-11-2024,4480409,7,1977838,2496744,2538072
14-11-2024,4476722,7,1975580,2493982,2536512
13-11-2024,4473372,7,1973097,2490986,2535559
12-11-2024,4469897,7,1970607,2488027,2534462
11-11-2024,4467096,7,1968197,2485090,2534081
10-11-2024,4465264,7,1967093,2483784,2533264
09-11-2024,4463399,7,1966055,2482560,2532287
08-11-2024,4460745,7,1964244,2480354,2531310
07-11-2024,4457545,7,1961994,2477632,2530244
06-11-2024,4454628,7,1959579,2474785,2529593
05-11-2024,4451737,7,1957183,2471896,2528999
04-11-2024,4449000,7,1954654,2468916,2528752
03-11-2024,4447622,7,1953646,2467743,2528258
02-11-2024,4446413,7,1952838,2466771,2527719
01-11-2024,4445176,7,1951866,2465609,2527384
31-10-2024,4443084,7,1950192,2463600,2526934
30-10-2024,4440749,7,1947951,2460936,2526802
29-10-2024,4438198,7,1945540,2457980,2526666
28-10-2024,4435616,7,1943240,2455149,2526436
27-10-2024,4434382,7,1942222,2453953,2526224
26-10-2024,4432995,7,1941195,2452706,2525844
25-10-2024,4430700,7,1939314,2450378,2525443
24-10-2024,4427870,7,1937073,2447668,2524838
23-10-2024,4425300,7,1934665,2444613,2524738
