MESE,ANNO,TIPO_SOGGETTO,TIPOLOGIA_DI_RETTIFICA,STATO_DI_LAVORAZIONE,TOTALE
4,2021,AIRE,RESIDENZA: CAPESTERO,ACCOLTA,1
4,2021,AIRE,RESIDENZA: INDIRIZZOESTERO,ACCOLTA,1
4,2021,AIRE,RESIDENZA: LOCALITAESTERA,ACCOLTA,1
4,2021,Residenti,CARTA DI IDENTITÀ: CARTACEAELETTRONICA,ACCOLTA,6
4,2021,Residenti,CARTA DI IDENTITÀ: COMUNERILASCIO,ACCOLTA,3
4,2021,Residenti,CARTA DI IDENTITÀ: DATARILASCIO,ACCOLTA,6
4,2021,Residenti,CARTA DI IDENTITÀ: DATASCADENZA,ACCOLTA,6
4,2021,Residenti,CARTA DI IDENTITÀ: NUMERO,ACCOLTA,6
4,2021,Residenti,GENERALITÀ: NOME,ACCOLTA,1
4,2021,Residenti,MATRIMONIO: DATAEVENTO,ACCOLTA,1
4,2021,Residenti,PERMESSO DI SOGGIORNO: DATARILASCIO,RESPINTA,1
4,2021,Residenti,PERMESSO DI SOGGIORNO: DATASCADENZA,RESPINTA,1
4,2021,Residenti,PERMESSO DI SOGGIORNO: NUMEROPASSAPORTO,RESPINTA,1
4,2021,Residenti,PERMESSO DI SOGGIORNO: NUMEROSOGGIORNO,RESPINTA,1
4,2021,Residenti,RESIDENZA: CIVICO,ACCOLTA,3
4,2021,Residenti,STATO CIVILE: STATOCIVILE,ACCOLTA,6
4,2021,Residenti,STATO CIVILE: STATOCIVILE,RESPINTA,2
5,2021,Residenti,CARTA DI IDENTITÀ: CARTACEAELETTRONICA,IRRICEVIBILE,1
5,2021,Residenti,LEGAME PARENTELA,ACCOLTA,2
5,2021,Residenti,MATRIMONIO: LUOGONASCITA,RESPINTA,1
5,2021,Residenti,PERMESSO DI SOGGIORNO: COMUNERILASCIO,ACCOLTA,1
5,2021,Residenti,PERMESSO DI SOGGIORNO: DATARILASCIO,ACCOLTA,1
5,2021,Residenti,PERMESSO DI SOGGIORNO: DATARILASCIO,IRRICEVIBILE,1
5,2021,Residenti,PERMESSO DI SOGGIORNO: DATASCADENZA,IRRICEVIBILE,1
5,2021,Residenti,PERMESSO DI SOGGIORNO: NUMEROSOGGIORNO,ACCOLTA,1
5,2021,Residenti,PERMESSO DI SOGGIORNO: NUMEROSOGGIORNO,IRRICEVIBILE,1
5,2021,Residenti,PERMESSO DI SOGGIORNO: QUESTURARILASCIOSOGGIORNO,ACCOLTA,1
5,2021,Residenti,PERMESSO DI SOGGIORNO: QUESTURARILASCIOSOGGIORNO,IRRICEVIBILE,1
5,2021,Residenti,RESIDENZA: CAP,IN LAVORAZIONE,1
5,2021,Residenti,RESIDENZA: CIVICO,IN LAVORAZIONE,1
5,2021,Residenti,RESIDENZA: COMUNE,IN LAVORAZIONE,1
5,2021,Residenti,RESIDENZA: DENOMINAZIONETOPONIMO,IN LAVORAZIONE,1
5,2021,Residenti,RESIDENZA: PROVINCIA,IN LAVORAZIONE,1
5,2021,Residenti,STATO CIVILE: STATOCIVILE,ACCOLTA,2
5,2021,Residenti,STATO CIVILE: STATOCIVILE,IN LAVORAZIONE,1
5,2021,Residenti,STATO CIVILE: STATOCIVILE,IRRICEVIBILE,5
5,2021,Residenti,STATO CIVILE: STATOCIVILE,RESPINTA,1
