MESE,ANNO,REGIONE,PROVINCIA,COD_ISTAT_COMUNE,COMUNE,RESIDENTI
1,2025,ABRUZZO,CHIETI,069001,ALTINO,3021
1,2025,ABRUZZO,CHIETI,069002,ARCHI,1932
1,2025,ABRUZZO,CHIETI,069003,ARI,1075
1,2025,ABRUZZO,CHIETI,069004,ARIELLI,1050
1,2025,ABRUZZO,CHIETI,069005,ATESSA,10349
1,2025,ABRUZZO,CHIETI,069006,BOMBA,696
1,2025,ABRUZZO,CHIETI,069007,BORRELLO,343
1,2025,ABRUZZO,CHIETI,069008,BUCCHIANICO,4927
1,2025,ABRUZZO,CHIETI,069010,CANOSA SANNITA,1226
1,2025,ABRUZZO,CHIETI,069011,CARPINETO SINELLO,496
1,2025,ABRUZZO,CHIETI,069012,CARUNCHIO,541
1,2025,ABRUZZO,CHIETI,069013,CASACANDITELLA,1190
1,2025,ABRUZZO,CHIETI,069014,CASALANGUIDA,807
1,2025,ABRUZZO,CHIETI,069015,CASALBORDINO,5733
1,2025,ABRUZZO,CHIETI,069016,CASALINCONTRADA,2976
1,2025,ABRUZZO,CHIETI,069017,CASOLI,5093
1,2025,ABRUZZO,CHIETI,069018,CASTEL FRENTANO,4226
1,2025,ABRUZZO,CHIETI,069019,CASTELGUIDONE,282
1,2025,ABRUZZO,CHIETI,069020,CASTIGLIONE MESSER MARINO,1459
1,2025,ABRUZZO,CHIETI,069021,CELENZA SUL TRIGNO,766
1,2025,ABRUZZO,CHIETI,069022,CHIETI,49226
1,2025,ABRUZZO,CHIETI,069023,CIVITALUPARELLA,280
1,2025,ABRUZZO,CHIETI,069024,CIVITELLA MESSER RAIMONDO,760
1,2025,ABRUZZO,CHIETI,069025,COLLEDIMACINE,151
1,2025,ABRUZZO,CHIETI,069026,COLLEDIMEZZO,414
1,2025,ABRUZZO,CHIETI,069027,CRECCHIO,2643
1,2025,ABRUZZO,CHIETI,069028,CUPELLO,4936
1,2025,ABRUZZO,CHIETI,069029,DOGLIOLA,310
1,2025,ABRUZZO,CHIETI,069104,FALLO,121
1,2025,ABRUZZO,CHIETI,069030,FARA FILIORUM PETRI,1988
1,2025,ABRUZZO,CHIETI,069031,FARA SAN MARTINO,1266
1,2025,ABRUZZO,CHIETI,069032,FILETTO,819
1,2025,ABRUZZO,CHIETI,069033,FOSSACESIA,6382
1,2025,ABRUZZO,CHIETI,069034,FRAINE,246
1,2025,ABRUZZO,CHIETI,069035,FRANCAVILLA AL MARE,26036
1,2025,ABRUZZO,CHIETI,069036,FRESAGRANDINARIA,914
1,2025,ABRUZZO,CHIETI,069037,FRISA,1659
1,2025,ABRUZZO,CHIETI,069038,FURCI,782
1,2025,ABRUZZO,CHIETI,069039,GAMBERALE,267
1,2025,ABRUZZO,CHIETI,069040,GESSOPALENA,1168
1,2025,ABRUZZO,CHIETI,069041,GISSI,2448
1,2025,ABRUZZO,CHIETI,069042,GIULIANO TEATINO,1130
1,2025,ABRUZZO,CHIETI,069043,GUARDIAGRELE,8342
1,2025,ABRUZZO,CHIETI,069044,GUILMI,440
1,2025,ABRUZZO,CHIETI,069045,LAMA DEI PELIGNI,1039
1,2025,ABRUZZO,CHIETI,069046,LANCIANO,34074
1,2025,ABRUZZO,CHIETI,069047,LENTELLA,647
1,2025,ABRUZZO,CHIETI,069048,LETTOPALENA,306
1,2025,ABRUZZO,CHIETI,069049,LISCIA,641
1,2025,ABRUZZO,CHIETI,069050,MIGLIANICO,4660
1,2025,ABRUZZO,CHIETI,069051,MONTAZZOLI,795
1,2025,ABRUZZO,CHIETI,069009,MONTEBELLO SUL SANGRO,81
1,2025,ABRUZZO,CHIETI,069052,MONTEFERRANTE,104
1,2025,ABRUZZO,CHIETI,069053,MONTELAPIANO,67
1,2025,ABRUZZO,CHIETI,069054,MONTENERODOMO,573
1,2025,ABRUZZO,CHIETI,069055,MONTEODORISIO,2368
1,2025,ABRUZZO,CHIETI,069056,MOZZAGROGNA,2452
1,2025,ABRUZZO,CHIETI,069057,ORSOGNA,3680
1,2025,ABRUZZO,CHIETI,069058,ORTONA,22215
1,2025,ABRUZZO,CHIETI,069059,PAGLIETA,4145
1,2025,ABRUZZO,CHIETI,069060,PALENA,1207
1,2025,ABRUZZO,CHIETI,069061,PALMOLI,843
1,2025,ABRUZZO,CHIETI,069062,PALOMBARO,941
1,2025,ABRUZZO,CHIETI,069063,PENNADOMO,201
1,2025,ABRUZZO,CHIETI,069064,PENNAPIEDIMONTE,389
1,2025,ABRUZZO,CHIETI,069065,PERANO,1484
1,2025,ABRUZZO,CHIETI,069103,PIETRAFERRAZZANA,129
1,2025,ABRUZZO,CHIETI,069066,PIZZOFERRATO,954
1,2025,ABRUZZO,CHIETI,069067,POGGIOFIORITO,772
1,2025,ABRUZZO,CHIETI,069068,POLLUTRI,2043
1,2025,ABRUZZO,CHIETI,069069,PRETORO,865
1,2025,ABRUZZO,CHIETI,069070,QUADRI,683
1,2025,ABRUZZO,CHIETI,069071,RAPINO,1159
1,2025,ABRUZZO,CHIETI,069072,RIPA TEATINA,3909
1,2025,ABRUZZO,CHIETI,069074,ROCCA SAN GIOVANNI,2335
1,2025,ABRUZZO,CHIETI,069073,ROCCAMONTEPIANO,1566
1,2025,ABRUZZO,CHIETI,069075,ROCCASCALEGNA,1042
1,2025,ABRUZZO,CHIETI,069076,ROCCASPINALVETI,1143
1,2025,ABRUZZO,CHIETI,069077,ROIO DEL SANGRO,100
1,2025,ABRUZZO,CHIETI,069078,ROSELLO,169
1,2025,ABRUZZO,CHIETI,069079,SAN BUONO,850
1,2025,ABRUZZO,CHIETI,069080,SAN GIOVANNI LIPIONI,135
1,2025,ABRUZZO,CHIETI,069081,SAN GIOVANNI TEATINO,14720
1,2025,ABRUZZO,CHIETI,069082,SAN MARTINO SULLA MARRUCINA,857
1,2025,ABRUZZO,CHIETI,069083,SAN SALVO,20289
1,2025,ABRUZZO,CHIETI,069086,SAN VITO CHIETINO,5224
1,2025,ABRUZZO,CHIETI,069085,SANT'EUSANIO DEL SANGRO,2291
1,2025,ABRUZZO,CHIETI,069084,SANTA MARIA IMBARO,2034
1,2025,ABRUZZO,CHIETI,069087,SCERNI,2987
1,2025,ABRUZZO,CHIETI,069088,SCHIAVI DI ABRUZZO,615
1,2025,ABRUZZO,CHIETI,069089,TARANTA PELIGNA,299
1,2025,ABRUZZO,CHIETI,069090,TOLLO,3944
1,2025,ABRUZZO,CHIETI,069091,TORINO DI SANGRO,2942
1,2025,ABRUZZO,CHIETI,069092,TORNARECCIO,1651
1,2025,ABRUZZO,CHIETI,069093,TORREBRUNA,646
1,2025,ABRUZZO,CHIETI,069094,TORREVECCHIA TEATINA,4230
1,2025,ABRUZZO,CHIETI,069095,TORRICELLA PELIGNA,1143
1,2025,ABRUZZO,CHIETI,069096,TREGLIO,1719
1,2025,ABRUZZO,CHIETI,069097,TUFILLO,329
1,2025,ABRUZZO,CHIETI,069098,VACRI,1514
1,2025,ABRUZZO,CHIETI,069099,VASTO,41551
1,2025,ABRUZZO,CHIETI,069102,VILLA SANTA MARIA,1163
1,2025,ABRUZZO,CHIETI,069100,VILLALFONSINA,871
1,2025,ABRUZZO,CHIETI,069101,VILLAMAGNA,2161
1,2025,ABRUZZO,L'AQUILA,066001,ACCIANO,249
1,2025,ABRUZZO,L'AQUILA,066002,AIELLI,1388
1,2025,ABRUZZO,L'AQUILA,066003,ALFEDENA,915
1,2025,ABRUZZO,L'AQUILA,066004,ANVERSA DEGLI ABRUZZI,304
1,2025,ABRUZZO,L'AQUILA,066005,ATELETA,1095
1,2025,ABRUZZO,L'AQUILA,066006,AVEZZANO,41158
1,2025,ABRUZZO,L'AQUILA,066007,BALSORANO,3267
1,2025,ABRUZZO,L'AQUILA,066008,BARETE,640
1,2025,ABRUZZO,L'AQUILA,066009,BARISCIANO,1669
1,2025,ABRUZZO,L'AQUILA,066010,BARREA,684
1,2025,ABRUZZO,L'AQUILA,066011,BISEGNA,214
1,2025,ABRUZZO,L'AQUILA,066012,BUGNARA,1046
1,2025,ABRUZZO,L'AQUILA,066013,CAGNANO AMITERNO,1144
1,2025,ABRUZZO,L'AQUILA,066014,CALASCIO,122
1,2025,ABRUZZO,L'AQUILA,066015,CAMPO DI GIOVE,744
1,2025,ABRUZZO,L'AQUILA,066016,CAMPOTOSTO,464
1,2025,ABRUZZO,L'AQUILA,066017,CANISTRO,923
1,2025,ABRUZZO,L'AQUILA,066018,CANSANO,231
1,2025,ABRUZZO,L'AQUILA,066019,CAPESTRANO,811
1,2025,ABRUZZO,L'AQUILA,066020,CAPISTRELLO,4711
1,2025,ABRUZZO,L'AQUILA,066021,CAPITIGNANO,604
1,2025,ABRUZZO,L'AQUILA,066022,CAPORCIANO,200
1,2025,ABRUZZO,L'AQUILA,066023,CAPPADOCIA,581
1,2025,ABRUZZO,L'AQUILA,066024,CARAPELLE CALVISIO,73
1,2025,ABRUZZO,L'AQUILA,066025,CARSOLI,5030
1,2025,ABRUZZO,L'AQUILA,066026,CASTEL DEL MONTE,388
1,2025,ABRUZZO,L'AQUILA,066027,CASTEL DI IERI,283
1,2025,ABRUZZO,L'AQUILA,066028,CASTEL DI SANGRO,6760
1,2025,ABRUZZO,L'AQUILA,066029,CASTELLAFIUME,1065
1,2025,ABRUZZO,L'AQUILA,066030,CASTELVECCHIO CALVISIO,125
1,2025,ABRUZZO,L'AQUILA,066031,CASTELVECCHIO SUBEQUO,808
1,2025,ABRUZZO,L'AQUILA,066032,CELANO,10255
1,2025,ABRUZZO,L'AQUILA,066033,CERCHIO,1552
1,2025,ABRUZZO,L'AQUILA,066034,CIVITA D'ANTINO,946
1,2025,ABRUZZO,L'AQUILA,066035,CIVITELLA ALFEDENA,290
1,2025,ABRUZZO,L'AQUILA,066036,CIVITELLA ROVETO,3039
1,2025,ABRUZZO,L'AQUILA,066037,COCULLO,204
1,2025,ABRUZZO,L'AQUILA,066038,COLLARMELE,765
1,2025,ABRUZZO,L'AQUILA,066039,COLLELONGO,1061
1,2025,ABRUZZO,L'AQUILA,066040,COLLEPIETRO,198
1,2025,ABRUZZO,L'AQUILA,066041,CORFINIO,945
1,2025,ABRUZZO,L'AQUILA,066042,FAGNANO ALTO,337
1,2025,ABRUZZO,L'AQUILA,066043,FONTECCHIO,283
1,2025,ABRUZZO,L'AQUILA,066044,FOSSA,672
1,2025,ABRUZZO,L'AQUILA,066045,GAGLIANO ATERNO,230
1,2025,ABRUZZO,L'AQUILA,066046,GIOIA DEI MARSI,1695
1,2025,ABRUZZO,L'AQUILA,066047,GORIANO SICOLI,514
1,2025,ABRUZZO,L'AQUILA,066048,INTRODACQUA,1970
1,2025,ABRUZZO,L'AQUILA,066049,L'AQUILA,71358
1,2025,ABRUZZO,L'AQUILA,066050,LECCE NEI MARSI,1515
1,2025,ABRUZZO,L'AQUILA,066051,LUCO DEI MARSI,5924
1,2025,ABRUZZO,L'AQUILA,066052,LUCOLI,834
1,2025,ABRUZZO,L'AQUILA,066053,MAGLIANO DE' MARSI,3467
1,2025,ABRUZZO,L'AQUILA,066054,MASSA D'ALBE,1350
1,2025,ABRUZZO,L'AQUILA,066055,MOLINA ATERNO,334
1,2025,ABRUZZO,L'AQUILA,066056,MONTEREALE,2204
1,2025,ABRUZZO,L'AQUILA,066057,MORINO,1292
1,2025,ABRUZZO,L'AQUILA,066058,NAVELLI,570
1,2025,ABRUZZO,L'AQUILA,066059,OCRE,1106
1,2025,ABRUZZO,L'AQUILA,066060,OFENA,446
1,2025,ABRUZZO,L'AQUILA,066061,OPI,370
1,2025,ABRUZZO,L'AQUILA,066062,ORICOLA,1298
1,2025,ABRUZZO,L'AQUILA,066063,ORTONA DEI MARSI,381
1,2025,ABRUZZO,L'AQUILA,066064,ORTUCCHIO,1724
1,2025,ABRUZZO,L'AQUILA,066065,OVINDOLI,1187
1,2025,ABRUZZO,L'AQUILA,066066,PACENTRO,1068
1,2025,ABRUZZO,L'AQUILA,066067,PERETO,642
1,2025,ABRUZZO,L'AQUILA,066068,PESCASSEROLI,2062
1,2025,ABRUZZO,L'AQUILA,066069,PESCINA,3718
1,2025,ABRUZZO,L'AQUILA,066070,PESCOCOSTANZO,1094
1,2025,ABRUZZO,L'AQUILA,066071,PETTORANO SUL GIZIO,1280
1,2025,ABRUZZO,L'AQUILA,066072,PIZZOLI,4412
1,2025,ABRUZZO,L'AQUILA,066073,POGGIO PICENZE,1022
1,2025,ABRUZZO,L'AQUILA,066074,PRATA D'ANSIDONIA,432
1,2025,ABRUZZO,L'AQUILA,066075,PRATOLA PELIGNA,6978
1,2025,ABRUZZO,L'AQUILA,066076,PREZZA,825
1,2025,ABRUZZO,L'AQUILA,066077,RAIANO,2627
1,2025,ABRUZZO,L'AQUILA,066078,RIVISONDOLI,661
1,2025,ABRUZZO,L'AQUILA,066080,ROCCA DI BOTTE,877
1,2025,ABRUZZO,L'AQUILA,066081,ROCCA DI CAMBIO,527
1,2025,ABRUZZO,L'AQUILA,066082,ROCCA DI MEZZO,1346
1,2025,ABRUZZO,L'AQUILA,066083,ROCCA PIA,169
1,2025,ABRUZZO,L'AQUILA,066079,ROCCACASALE,581
1,2025,ABRUZZO,L'AQUILA,066084,ROCCARASO,1516
1,2025,ABRUZZO,L'AQUILA,066085,SAN BENEDETTO DEI MARSI,3719
1,2025,ABRUZZO,L'AQUILA,066086,SAN BENEDETTO IN PERILLIS,102
1,2025,ABRUZZO,L'AQUILA,066087,SAN DEMETRIO NE' VESTINI,2019
1,2025,ABRUZZO,L'AQUILA,066088,SAN PIO DELLE CAMERE,668
1,2025,ABRUZZO,L'AQUILA,066092,SAN VINCENZO VALLE ROVETO,2072
1,2025,ABRUZZO,L'AQUILA,066090,SANT'EUSANIO FORCONESE,367
1,2025,ABRUZZO,L'AQUILA,066089,SANTE MARIE,1076
1,2025,ABRUZZO,L'AQUILA,066091,SANTO STEFANO DI SESSANIO,104
1,2025,ABRUZZO,L'AQUILA,066093,SCANNO,1708
1,2025,ABRUZZO,L'AQUILA,066094,SCONTRONE,536
1,2025,ABRUZZO,L'AQUILA,066095,SCOPPITO,3827
1,2025,ABRUZZO,L'AQUILA,066096,SCURCOLA MARSICANA,2698
1,2025,ABRUZZO,L'AQUILA,066097,SECINARO,301
1,2025,ABRUZZO,L'AQUILA,066098,SULMONA,22050
1,2025,ABRUZZO,L'AQUILA,066099,TAGLIACOZZO,6537
1,2025,ABRUZZO,L'AQUILA,066100,TIONE DEGLI ABRUZZI,251
1,2025,ABRUZZO,L'AQUILA,066101,TORNIMPARTE,2761
1,2025,ABRUZZO,L'AQUILA,066102,TRASACCO,5804
1,2025,ABRUZZO,L'AQUILA,066105,VILLA SANT'ANGELO,504
1,2025,ABRUZZO,L'AQUILA,066104,VILLA SANTA LUCIA DEGLI ABRUZZI,81
1,2025,ABRUZZO,L'AQUILA,066103,VILLALAGO,490
1,2025,ABRUZZO,L'AQUILA,066106,VILLAVALLELONGA,825
1,2025,ABRUZZO,L'AQUILA,066107,VILLETTA BARREA,596
1,2025,ABRUZZO,L'AQUILA,066108,VITTORITO,810
1,2025,ABRUZZO,PESCARA,068001,ABBATEGGIO,357
1,2025,ABRUZZO,PESCARA,068002,ALANNO,3352
1,2025,ABRUZZO,PESCARA,068003,BOLOGNANO,1005
1,2025,ABRUZZO,PESCARA,068004,BRITTOLI,241
1,2025,ABRUZZO,PESCARA,068005,BUSSI SUL TIRINO,2277
1,2025,ABRUZZO,PESCARA,068006,CAPPELLE SUL TAVO,4118
1,2025,ABRUZZO,PESCARA,068007,CARAMANICO TERME,1750
1,2025,ABRUZZO,PESCARA,068008,CARPINETO DELLA NORA,510
1,2025,ABRUZZO,PESCARA,068009,CASTIGLIONE A CASAURIA,713
1,2025,ABRUZZO,PESCARA,068010,CATIGNANO,1241
1,2025,ABRUZZO,PESCARA,068011,CEPAGATTI,11027
1,2025,ABRUZZO,PESCARA,068012,CITTÀ SANT'ANGELO,15065
1,2025,ABRUZZO,PESCARA,068013,CIVITAQUANA,1148
1,2025,ABRUZZO,PESCARA,068014,CIVITELLA CASANOVA,1577
1,2025,ABRUZZO,PESCARA,068015,COLLECORVINO,6075
1,2025,ABRUZZO,PESCARA,068016,CORVARA,198
1,2025,ABRUZZO,PESCARA,068017,CUGNOLI,1358
1,2025,ABRUZZO,PESCARA,068018,ELICE,1652
1,2025,ABRUZZO,PESCARA,068019,FARINDOLA,1315
1,2025,ABRUZZO,PESCARA,068020,LETTOMANOPPELLO,2674
1,2025,ABRUZZO,PESCARA,068021,LORETO APRUTINO,7098
1,2025,ABRUZZO,PESCARA,068022,MANOPPELLO,6783
1,2025,ABRUZZO,PESCARA,068023,MONTEBELLO DI BERTONA,822
1,2025,ABRUZZO,PESCARA,068024,MONTESILVANO,54377
1,2025,ABRUZZO,PESCARA,068025,MOSCUFO,3161
1,2025,ABRUZZO,PESCARA,068026,NOCCIANO,1706
1,2025,ABRUZZO,PESCARA,068027,PENNE,11151
1,2025,ABRUZZO,PESCARA,068028,PESCARA,119074
1,2025,ABRUZZO,PESCARA,068029,PESCOSANSONESCO,442
1,2025,ABRUZZO,PESCARA,068030,PIANELLA,8596
1,2025,ABRUZZO,PESCARA,068031,PICCIANO,1308
1,2025,ABRUZZO,PESCARA,068032,PIETRANICO,424
1,2025,ABRUZZO,PESCARA,068033,POPOLI TERME,4640
