MESE,ANNO,TIPO SOGGETTO,STATO DI LAVORAZIONE,TIPOLOGIA,TOTALE
11,2022,AIRE,ACCOLTA,RIENTRI AIRE,77
11,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,355
11,2022,AIRE,IRRICEVIBILE,RIENTRI AIRE,12
11,2022,Residenti,ACCOLTA,DIVERSA REGIONE,617
11,2022,Residenti,ACCOLTA,STESSA REGIONE,1269
11,2022,Residenti,ACCOLTA,STESSO COMUNE,19430
11,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,4883
11,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,10046
11,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,59793
11,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,1795
11,2022,Residenti,RESPINTA,STESSO COMUNE,120
