MESE,ANNO,TIPO SOGGETTO,STATO DI LAVORAZIONE,TIPOLOGIA,TOTALE
4,2022,AIRE,ACCOLTA,RIENTRI AIRE,168
4,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,275
4,2022,AIRE,IRRICEVIBILE,RIENTRI AIRE,5
4,2022,AIRE,RESPINTA,RIENTRI AIRE,2
4,2022,Residenti,ACCOLTA,DIVERSA REGIONE,254
4,2022,Residenti,ACCOLTA,STESSA REGIONE,546
4,2022,Residenti,ACCOLTA,STESSO COMUNE,10107
4,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,1094
4,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,2285
4,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,21124
4,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,562
4,2022,Residenti,RESPINTA,STESSO COMUNE,93
5,2022,AIRE,ACCOLTA,RIENTRI AIRE,190
5,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,404
5,2022,AIRE,IRRICEVIBILE,RIENTRI AIRE,38
5,2022,AIRE,RESPINTA,RIENTRI AIRE,4
5,2022,Residenti,ACCOLTA,DIVERSA REGIONE,631
5,2022,Residenti,ACCOLTA,STESSA REGIONE,1625
5,2022,Residenti,ACCOLTA,STESSO COMUNE,28624
5,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,3538
5,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,8587
5,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,53358
5,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,2187
5,2022,Residenti,RESPINTA,STESSO COMUNE,276
6,2022,AIRE,ACCOLTA,RIENTRI AIRE,153
6,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,363
6,2022,AIRE,IRRICEVIBILE,RIENTRI AIRE,37
6,2022,AIRE,RESPINTA,RIENTRI AIRE,5
6,2022,Residenti,ACCOLTA,DIVERSA REGIONE,585
6,2022,Residenti,ACCOLTA,STESSA REGIONE,1557
6,2022,Residenti,ACCOLTA,STESSO COMUNE,28950
6,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,3499
6,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,8704
6,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,53105
6,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,2036
6,2022,Residenti,RESPINTA,STESSO COMUNE,291
7,2022,AIRE,ACCOLTA,RIENTRI AIRE,153
7,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,381
7,2022,AIRE,IRRICEVIBILE,RIENTRI AIRE,43
7,2022,AIRE,RESPINTA,RIENTRI AIRE,3
7,2022,Residenti,ACCOLTA,DIVERSA REGIONE,691
7,2022,Residenti,ACCOLTA,STESSA REGIONE,1576
7,2022,Residenti,ACCOLTA,STESSO COMUNE,31179
7,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,3785
7,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,9289
7,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,57136
7,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,2156
7,2022,Residenti,RESPINTA,STESSO COMUNE,249
8,2022,AIRE,ACCOLTA,RIENTRI AIRE,145
8,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,346
8,2022,AIRE,IRRICEVIBILE,RIENTRI AIRE,40
8,2022,AIRE,RESPINTA,RIENTRI AIRE,4
8,2022,Residenti,ACCOLTA,DIVERSA REGIONE,695
8,2022,Residenti,ACCOLTA,STESSA REGIONE,1451
8,2022,Residenti,ACCOLTA,STESSO COMUNE,26946
8,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,3794
8,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,7881
8,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,49006
8,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,1794
8,2022,Residenti,RESPINTA,STESSO COMUNE,234
9,2022,AIRE,ACCOLTA,RIENTRI AIRE,164
9,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,454
9,2022,AIRE,IRRICEVIBILE,RIENTRI AIRE,44
9,2022,AIRE,RESPINTA,RIENTRI AIRE,7
9,2022,Residenti,ACCOLTA,DIVERSA REGIONE,895
9,2022,Residenti,ACCOLTA,STESSA REGIONE,1701
9,2022,Residenti,ACCOLTA,STESSO COMUNE,33514
9,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,5318
9,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,9964
9,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,64771
9,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,2495
9,2022,Residenti,RESPINTA,STESSO COMUNE,245
10,2022,AIRE,ACCOLTA,RIENTRI AIRE,125
10,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,398
10,2022,AIRE,IRRICEVIBILE,RIENTRI AIRE,41
10,2022,AIRE,RESPINTA,RIENTRI AIRE,4
10,2022,Residenti,ACCOLTA,DIVERSA REGIONE,950
10,2022,Residenti,ACCOLTA,STESSA REGIONE,1906
10,2022,Residenti,ACCOLTA,STESSO COMUNE,35392
10,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,5619
