MESE,ANNO,TIPO SOGGETTO,STATO DI LAVORAZIONE,TIPOLOGIA,TOTALE
12,2022,AIRE,ACCOLTA,RIENTRI AIRE,51
12,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,234
12,2022,AIRE,IRRICEVIBILE,RIENTRI AIRE,10
12,2022,Residenti,ACCOLTA,DIVERSA REGIONE,239
12,2022,Residenti,ACCOLTA,STESSA REGIONE,591
12,2022,Residenti,ACCOLTA,STESSO COMUNE,7368
12,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,2238
12,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,5229
12,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,28339
12,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,670
12,2022,Residenti,RESPINTA,STESSO COMUNE,18
