MESE,ANNO,TIPO_SOGGETTO,AUTOCERTIFICAZIONI,VISURE,TOTALE
4,2021,AIRE,150,535,686
4,2021,Residenti,14338,33638,47996
5,2021,AIRE,148,434,582
5,2021,Residenti,12157,26000,38171
6,2021,AIRE,109,420,539
6,2021,Residenti,11664,26958,38714
7,2021,AIRE,131,410,551
7,2021,Residenti,10292,23039,33527
8,2021,AIRE,134,336,478
8,2021,Residenti,7722,18071,25973
9,2021,AIRE,97,338,453
9,2021,Residenti,13620,29764,43633
10,2021,AIRE,265,897,1202
10,2021,Residenti,28946,66980,96463
11,2021,AIRE,2425,11257,19937
11,2021,Residenti,199223,815234,1493883
12,2021,AIRE,843,4178,8391
12,2021,Residenti,47120,209990,558691
1,2022,AIRE,823,4647,8532
1,2022,Residenti,65386,270344,720798
2,2022,AIRE,779,3966,7597
2,2022,Residenti,54331,227861,635073
3,2022,AIRE,864,3762,7478
3,2022,Residenti,53489,218905,643256
4,2022,AIRE,804,3822,7461
4,2022,Residenti,42514,187891,531965
5,2022,AIRE,770,4096,8025
5,2022,Residenti,48266,215866,623706
6,2022,AIRE,781,3719,7284
6,2022,Residenti,44075,193070,573025
7,2022,AIRE,698,3670,7085
7,2022,Residenti,40493,192916,555063
8,2022,AIRE,764,3684,7255
8,2022,Residenti,32710,163165,447115
9,2022,AIRE,792,4004,7765
9,2022,Residenti,50424,234560,731246
10,2022,AIRE,853,4242,8172
10,2022,Residenti,49283,234070,705368
11,2022,AIRE,883,4251,8252
11,2022,Residenti,48149,227661,666596
12,2022,AIRE,828,4123,8163
12,2022,Residenti,40654,193732,558212
1,2023,AIRE,1168,5433,10186
1,2023,Residenti,69945,307648,829549
2,2023,AIRE,1170,4776,9092
2,2023,Residenti,59837,253987,700743
3,2023,AIRE,1414,5773,10569
3,2023,Residenti,82204,309799,765800
4,2023,AIRE,1342,5338,9370
4,2023,Residenti,74270,270942,624061
5,2023,AIRE,1477,5900,10260
5,2023,Residenti,91797,326630,758725
6,2023,AIRE,1340,5439,9393
6,2023,Residenti,80305,287992,671524
7,2023,AIRE,1310,5154,9115
7,2023,Residenti,76114,276283,674832
8,2023,AIRE,1083,4976,8451
8,2023,Residenti,55367,219406,529196
9,2023,AIRE,1403,5483,9565
9,2023,Residenti,82190,306205,820695
10,2023,AIRE,1399,6125,10416
10,2023,Residenti,81139,315788,801279
11,2023,AIRE,1383,5870,9990
11,2023,Residenti,75328,293027,706635
12,2023,AIRE,1386,5621,9666
12,2023,Residenti,61818,258431,731399
1,2024,AIRE,1765,7285,12595
1,2024,Residenti,111393,402181,1347931
2,2024,AIRE,1595,7462,12821
2,2024,Residenti,98345,364181,1323135
3,2024,AIRE,1712,7278,13090
3,2024,Residenti,96357,337820,1306294
4,2024,AIRE,1722,7116,12861
4,2024,Residenti,87795,310207,1238200
5,2024,AIRE,1846,7786,13832
5,2024,Residenti,99475,352451,1403928
6,2024,AIRE,1675,7274,12720
6,2024,Residenti,86333,313089,1234509
7,2024,AIRE,1665,7253,12835
7,2024,Residenti,86313,314492,1338196
8,2024,AIRE,1257,6297,10571
8,2024,Residenti,56678,216360,734763
9,2024,AIRE,1670,7427,13171
9,2024,Residenti,94100,349426,1464451
10,2024,AIRE,1740,7816,14106
10,2024,Residenti,98221,358948,1567924
11,2024,AIRE,1685,7415,13341
11,2024,Residenti,86220,311813,1351453
12,2024,AIRE,1659,6816,12423
12,2024,Residenti,72872,269323,1100697
1,2025,AIRE,1989,8913,15753
1,2025,Residenti,123977,419404,1627190
2,2025,AIRE,2261,23039,29828
2,2025,Residenti,125385,1638349,2779732
3,2025,AIRE,2393,31380,38595
3,2025,Residenti,141800,2234129,3418740
4,2025,AIRE,2434,32044,39100
4,2025,Residenti,121322,2071176,3117174
5,2025,AIRE,2443,39578,46928
5,2025,Residenti,128509,2687776,3833023
6,2025,AIRE,2360,39589,47020
6,2025,Residenti,118784,2516198,3598065
7,2025,AIRE,2610,42513,50784
7,2025,Residenti,133426,2794115,4036457
8,2025,AIRE,2037,33883,40038
8,2025,Residenti,92287,1878201,2519843
9,2025,AIRE,2550,42324,50650
9,2025,Residenti,159538,3230999,4617439
10,2025,AIRE,2872,43139,51715
10,2025,Residenti,161005,3066398,4450899
11,2025,AIRE,2458,39233,46805
11,2025,Residenti,133709,2662609,3867543
12,2025,AIRE,2218,35858,42558
12,2025,Residenti,106300,2180900,3143104
1,2026,AIRE,2985,50412,59645
1,2026,Residenti,193442,3240020,4569546
